,Company,Sector,PE,3Y High,3Y Low,% Assets
0,Galaxy Surfactants,FMCG,21.77,7.43,0.00,7.43
1,Mas Financial Services,Financial,21.45,6.81,0.00,6.22
2,NIIT Technologies,Technology,20.22,7.37,0.00,5.51
3,TCNS Clothing,Textiles,37.59,9.27,0.00,5.39
4,Gulf Oil Lubricants India,Energy,25.29,5.31,2.84,5.18
5,Vinati Organics,Chemicals,36.46,5.25,0.00,4.85
6,City Union Bank,Financial,23.34,7.92,0.00,4.78
7,Neogen Chemicals,Chemicals,41.36,4.53,0.00,4.53
8,Fine Organic Industries,Chemicals,34.21,4.39,0.00,4.11
9,Heidelberg Cement India,Construction,20.44,4.37,0.00,3.96
10,Blue Star,Cons Durable,40.11,3.79,0.00,3.79
11,Varroc Engineering,Automobile,14.32,3.50,0.00,3.50
12,V-Guard Industries,Cons Durable,60.86,4.77,0.00,2.87
13,Schaeffler India,Engineering,41.58,4.26,1.64,2.85
14,JK Cement,Construction,29.54,2.96,0.00,2.77
15,Orient Refractories Ltd.,Construction,29.14,2.55,0.00,2.55
16,VST Industries,FMCG,23.49,6.52,2.40,2.40
17,SRF,Diversified,25.87,2.61,0.00,2.27
18,Vesuvius India,Construction,26.04,2.62,1.17,2.20
19,Grindwell Norton,Metals,38.47,2.91,1.19,2.14
20,Can Fin Homes,Financial,15.51,2.05,0.00,2.05
21,Aarti Industries,Chemicals,31.51,2.31,0.00,1.79
22,Chalet Hotel,Services,0.00,2.36,0.00,1.70
23,TTK Prestige,Cons Durable,50.52,1.89,0.00,1.37
24,MM Forgings,Metals,16.08,1.21,0.00,0.78
