,Company,Sector,PE,3Y High,3Y Low,% Assets
0,Chambal Fertilisers & Chem.,Chemicals,11.97,3.63,0.00,3.09
1,Sonata Software,Technology,15.01,3.81,0.00,3.08
2,NIIT Technologies,Technology,20.22,4.11,1.44,3.00
3,Bank of Baroda,Financial,41.61,2.78,0.00,2.78
4,Aurobindo Pharma,Healthcare,15.27,4.56,0.69,2.67
5,DCB Bank,Financial,22.25,2.62,0.00,2.62
6,Balkrishna Industries,Automobile,19.08,3.54,0.00,2.49
7,Gujarat Fluorochemicals,Chemicals,8.70,2.74,0.00,2.47
8,Federal Bank,Financial,15.98,2.54,0.00,2.45
9,Indian Bank,Financial,34.13,2.73,0.00,2.41
10,Firstsource Solutions,Services,9.31,3.41,0.00,2.28
11,Sharda Cropchem,Chemicals,17.42,4.09,0.00,2.28
12,Indian Hotels,Services,60.81,2.42,0.78,2.25
13,Kei Industries,Engineering,20.35,2.19,0.00,2.19
14,KEC International,Engineering,16.63,3.94,0.00,2.19
15,Sadbhav Engineering,Construction,214.86,2.15,0.40,2.15
16,Kalpataru Power Trans,Construction,16.52,2.30,0.79,2.10
17,INOX Leisure,Services,25.44,2.07,0.00,2.07
18,SKF India,Engineering,28.03,3.07,0.85,2.06
19,Chalet Hotel,Services,0.00,2.17,0.00,2.01
20,Atul,Chemicals,27.91,2.03,0.00,1.75
21,NRB Bearings,Engineering,14.48,2.75,0.30,1.74
22,Repco Home Finance Ltd.,Financial,9.35,2.05,0.00,1.68
23,PNC Infratech,Services,15.09,2.85,0.81,1.61
24,Oriental Bank of Com.,Financial,227.61,2.47,0.45,1.60
