,Company,Sector,PE,3Y High,3Y Low,% Assets
0,The Ramco Cements,Construction,36.11,2.78,1.01,2.52
1,BEML,Engineering,59.01,2.39,0.00,2.33
2,Grindwell Norton,Metals,38.47,2.31,0.00,2.22
3,KPR Mills,Textiles,13.77,3.99,0.90,2.20
4,Future Retail,Services,31.31,2.67,0.15,2.08
5,Mahanagar Gas,Energy,15.80,2.48,0.00,2.02
6,Persistent Systems,Technology,13.84,2.51,0.00,2.00
7,Tube Investments Of India,Automobile,30.78,2.34,0.00,1.97
8,Sanofi India,Healthcare,31.98,2.24,0.00,1.81
9,DCB Bank,Financial,22.25,1.99,0.82,1.79
10,Sobha,Construction,17.74,2.60,0.00,1.79
11,Sunteck Realty,Construction,30.03,1.94,0.00,1.75
12,Future Supply Chain Solutions Ltd.,Services,39.13,2.08,0.00,1.74
13,Engineers India,Construction,19.92,1.88,0.00,1.72
14,Future Lifestyle Fashion,Services,46.13,2.29,0.00,1.66
15,AIA Engineering,Metals,31.93,1.96,0.77,1.65
16,Welspun India,Textiles,26.65,2.25,0.00,1.64
17,Sharda Cropchem,Chemicals,17.42,1.82,0.00,1.63
18,ISGEC Heavy Engineering,Engineering,23.94,1.57,0.00,1.54
19,Abbott India,Healthcare,40.48,1.62,0.00,1.52
20,Maharashtra Seamless,Metals,12.31,2.08,0.00,1.48
21,Prestige Estates Projects,Construction,23.55,1.45,0.00,1.45
22,Finolex Industries,Chemicals,16.91,1.98,0.00,1.44
23,Lakshmi Machine Works,Engineering,30.04,3.12,0.00,1.42
24,EIH,Services,73.04,1.88,0.00,1.41
