,Company,Sector,PE,3Y High,3Y Low,% Assets
0,Deepak Nitrite,Chemicals,22.08,2.80,0.00,2.80
1,Orient Electric,Engineering,50.56,2.28,0.00,2.04
2,Navin Fluorine International,Chemicals,24.43,4.44,1.81,1.93
3,VIP Industries,Chemicals,45.15,2.79,1.61,1.85
4,Vindhya Telelinks,Engineering,6.02,2.71,1.53,1.76
5,Zydus Wellness,FMCG,46.11,2.61,0.00,1.67
6,Kalpataru Power Trans,Construction,16.52,2.48,1.19,1.55
7,Tube Investments Of India,Automobile,30.78,1.62,0.00,1.51
8,Raymond,Textiles,28.79,1.71,0.86,1.45
9,Bajaj Electricals,Cons Durable,33.32,2.17,0.90,1.43
10,Cipla,Healthcare,29.32,1.51,0.00,1.42
11,Cyient,Technology,12.30,2.31,0.95,1.42
12,Carborundum Universal,Metals,26.49,1.60,0.00,1.39
13,Security and Intelligence Services,Services,31.55,1.44,0.00,1.39
14,West Coast Paper Mills,FMCG,5.34,2.85,1.29,1.37
15,Thermax,Engineering,39.85,1.33,0.00,1.33
16,BHEL,Engineering,23.61,1.41,0.00,1.33
17,FDC,Healthcare,17.79,2.44,0.91,1.33
18,Fine Organic Industries,Chemicals,34.21,1.32,0.00,1.32
19,Birla Corporation,Construction,18.97,1.50,0.00,1.27
20,Axis Bank,Financial,41.59,2.54,0.00,1.25
21,Atul,Chemicals,27.91,2.76,1.10,1.24
22,Intellect Design Arena,Technology,27.55,3.14,0.77,1.23
23,NIIT,Technology,20.30,2.22,0.73,1.21
24,HG Infra Engineering,Construction,14.39,1.18,0.00,1.18
