,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,DCB Bank Ltd. ,Banks,8.87,1114.4,4.71,0.30,3.03  (Sep 2018),3.03  (Sep 2018),47.00 L,0.00 ,Small Cap,79.59
1,PNC Infratech Ltd. ,Construction civil,5.67,925.3,3.91,0.29,2.77  (Feb 2019),2.77  (Feb 2019),46.00 L,0.00 ,Small Cap,79.59
2,KEC International Ltd. ,"Engineering, designing, construction",5.07,809.2,3.42,0.23,2.6  (Aug 2018),2.6  (Aug 2018),25.16 L,36.26 k,Small Cap,79.59
3,Deepak Nitrite Ltd. ,Chemicals - speciality,2.94,695.7,2.94,-0.10,1.48  (Dec 2018),1.48  (Dec 2018),23.98 L,0.00 ,Small Cap,79.59
4,Tube Investments Of India Ltd. ,Auto ancillaries,5.36,624.3,2.64,0.13,0.99  (Jul 2018),0.99  (Jul 2018),16.26 L,25.00 k,Small Cap,79.59
5,Federal Bank Ltd. ,Banks,8.87,623.3,2.63,0.26,0.3  (Jan 2019),0  (Jul 2018),57.50 L,2.50 L,Mid Cap,10.48
6,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",2.6,615.1,2.60,-0.24,1.47  (Jul 2018),1.47  (Jul 2018),18.80 L,0.00 ,Small Cap,79.59
7,Gujarat State Petronet Ltd. ,Gas transmission/marketing,2.49,588.8,2.49,0.19,0.88  (Jul 2018),0  (Jul 2018),30.00 L,41.51 k,Mid Cap,10.48
8,Cholamandalam Financial Holdings Ltd. ,Other financial services,3.21,560.1,2.37,-0.02,1.21  (Jan 2019),0  (Jul 2018),12.00 L,10.27 k,Small Cap,79.59
9,Mahindra CIE Automotive Ltd. ,Castings/forgings,4.01,554.6,2.34,-0.20,2.11  (Nov 2018),2.11  (Nov 2018),24.00 L,-1.83 L,Small Cap,79.59
10,Satin Creditcare Network Ltd. ,Nbfc,3.39,548.6,2.32,-0.24,1.34  (Nov 2018),1.34  (Nov 2018),18.52 L,0.00 ,Small Cap,79.59
11,Equitas Holdings Ltd. ,Investment companies,3.74,540.2,2.28,-0.23,1.56  (Jul 2018),1.56  (Jul 2018),45.00 L,0.00 ,Small Cap,79.59
12,Bajaj Electricals Ltd. ,Home appliances,2.2,521.6,2.20,0.07,0.23  (Aug 2018),0  (Jul 2018),9.86 L,0.00 ,Small Cap,79.59
13,Tata Metaliks Ltd. ,Pig iron,2.17,512.6,2.17,0.11,1.99  (Jul 2018),1.99  (Jul 2018),8.50 L,0.00 ,Small Cap,79.59
14,V-Guard Industries Ltd. ,Industrial electronics,1.96,462.6,1.96,0.10,1.59  (Sep 2018),1.59  (Sep 2018),19.00 L,0.00 ,Small Cap,79.59
15,Ipca Laboratories Ltd. ,Pharmaceuticals,2.55,458.9,1.94,0.05,1.66  (Sep 2018),1.66  (Sep 2018),5.00 L,0.00 ,Mid Cap,10.48
16,Cyient Ltd. ,It enabled services – software,1.84,435.6,1.84,0.03,1.81  (May 2019),1.81  (May 2019),8.04 L,0.00 ,Small Cap,79.59
17,IRB Infrastructure Developers Ltd. ,Construction civil,5.67,417.2,1.76,-0.40,1.47  (Sep 2018),1.47  (Sep 2018),43.50 L,0.00 ,Small Cap,79.59
18,Welspun India Ltd. ,Fabrics and garments,1.75,413.3,1.75,0.15,1.58  (Apr 2019),1.58  (Apr 2019),72.00 L,0.00 ,Small Cap,79.59
19,Jyothy Laboratories Ltd. ,Personal care,1.75,413,1.75,-0.04,1.75  (Jun 2019),1.75  (Jun 2019),26.00 L,0.00 ,Small Cap,79.59
20,Security and Intelligence Services (India) Ltd. ,Diversified commercial services,1.68,398.6,1.68,0.07,1.62  (May 2019),1.62  (May 2019),4.40 L,0.00 ,Small Cap,79.59
21,Ramkrishna Forgings Ltd. ,Castings/forgings,4.01,395.1,1.67,-0.12,1.67  (Jun 2019),1.67  (Jun 2019),8.92 L,0.00 ,Small Cap,79.59
22,Redington (India) Ltd. ,Logistics solution provider,2.54,392.2,1.66,0.21,0.89  (Jan 2019),0.89  (Jan 2019),36.00 L,0.00 ,Small Cap,79.59
23,NCC Ltd. ,"Engineering, designing, construction",5.07,389.8,1.65,0.08,1.03  (Jul 2018),1.03  (Jul 2018),40.00 L,0.00 ,Small Cap,79.59
24,Bharat Earth Movers Ltd. ,Industrial equipment,1.64,387.6,1.64,-0.03,1.24  (Oct 2018),1.24  (Oct 2018),4.25 L,0.00 ,Small Cap,79.59
25,State Bank Of India ,Banks,8.87,361.3,1.53,-0.60,0.95  (Feb 2019),0  (Jul 2018),10.00 L,-5.00 L,Large Cap,1.53
26,India Cements Ltd. ,Cement,3.56,349.3,1.48,-0.01,0.93  (Jan 2019),0.93  (Jan 2019),35.00 L,0.00 ,Small Cap,79.59
27,Minda Corporation Ltd. ,Auto ancillaries,5.36,348,1.47,-0.03,1.47  (Jun 2019),1.47  (Jun 2019),31.49 L,0.00 ,Small Cap,79.59
28,L&T Finance Holdings Ltd. ,Investment companies,3.74,345.5,1.46,-0.16,1.46  (Jun 2019),1.46  (Jun 2019),30.00 L,0.00 ,Mid Cap,10.48
29,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,1.45,343.9,1.45,0.01,1.44  (May 2019),1.44  (May 2019),1.94 L,0.00 ,Small Cap,79.59
30,Cochin Shipyard Ltd. ,Ship building & allied services,1.44,340,1.44,0.05,1.32  (Feb 2019),1.32  (Feb 2019),8.99 L,0.00 ,Small Cap,79.59
31,SpiceJet Ltd. ,Airlines,1.43,337.4,1.43,0.11,1.32  (May 2019),0  (Jul 2018),27.00 L,4.57 L,Small Cap,79.59
32,Repco Home Finance Ltd. ,Housing finance,1.77,324.4,1.37,-0.01,1.35  (Feb 2019),1.35  (Feb 2019),8.50 L,0.00 ,Small Cap,79.59
33,Sun TV Network Ltd. ,Tv broadcasting & software production,1.35,318.6,1.35,-0.05,1.35  (Jun 2019),1.35  (Jun 2019),6.31 L,0.00 ,Mid Cap,10.48
