,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Timken India Ltd. ,Bearings,4.15,13.2,2.66,0.04,1.16  (Feb 2019),0  (Jul 2018),18.00 k,0.00 ,Small Cap,66.43
1,DCB Bank Ltd. ,Banks,5.82,13,2.63,0.01,0.6  (Dec 2018),0  (Jul 2018),55.00 k,2.50 k,Small Cap,66.43
2,Laurus Labs Ltd. ,Pharmaceuticals,4.63,12.8,2.58,-0.16,2.16  (Mar 2019),0  (Jul 2018),38.00 k,2.50 k,Small Cap,66.43
3,V-Guard Industries Ltd. ,Industrial electronics,2.45,12.2,2.45,-0.02,1.98  (Jan 2019),0  (Jul 2018),50.00 k,2.50 k,Small Cap,66.43
4,KNR Constructions ,Construction civil,3.12,11.5,2.31,0.09,1.46  (Mar 2019),0  (Jul 2018),41.00 k,4.00 k,Small Cap,66.43
5,Kalpataru Power Transmission Ltd. ,Transmission towers,2.12,10.5,2.12,0.07,0.95  (Jan 2019),0  (Jul 2018),20.00 k,1.00 k,Small Cap,66.43
6,Somany Ceramics Ltd. ,Sanitary ware,4.01,10.4,2.09,-0.13,0.94  (Dec 2018),0  (Jul 2018),23.50 k,0.00 ,Small Cap,66.43
7,Solar Industries India Ltd. ,Explosives,1.98,9.9,1.98,0.22,0.95  (Feb 2019),0  (Jul 2018),7.80 k,800.00 ,Small Cap,66.43
8,Zensar Technologies Ltd. ,Computers - software,1.98,9.8,1.98,-0.05,0.9  (Dec 2018),0  (Jul 2018),38.00 k,0.00 ,Small Cap,66.43
9,Can Fin Homes Ltd. ,Housing finance,1.96,9.8,1.96,-1.44,1.12  (Dec 2018),0  (Jul 2018),27.35 k,-0.18 L,Small Cap,66.43
10,Axis Bank Ltd. ,Banks,5.82,9.7,1.96,-0.12,0.52  (Dec 2018),0  (Jul 2018),12.00 k,0.00 ,Large Cap,3.19
11,Cera Sanitaryware Ltd. ,Sanitary ware,4.01,9.5,1.92,-0.14,1.67  (Jan 2019),0  (Jul 2018),3.20 k,0.00 ,Small Cap,66.43
12,Grindwell Norton Ltd. ,Abrasives,1.86,9.2,1.86,0.07,1.44  (Jan 2019),0  (Jul 2018),15.50 k,1.50 k,Small Cap,66.43
13,Equitas Holdings Ltd. ,Investment companies,1.81,9,1.81,-0.28,1.81  (Jun 2019),0  (Jul 2018),75.00 k,5.00 k,Small Cap,66.43
14,Atul Ltd. ,Chemicals - speciality,2.67,9,1.80,-0.15,0.17  (Dec 2018),0  (Jul 2018),2.25 k,0.00 ,Mid Cap,12.45
15,Century Plyboards India Ltd. ,Plywood boards,1.78,8.8,1.78,-0.15,1.35  (Apr 2019),0  (Jul 2018),52.75 k,0.00 ,Small Cap,66.43
16,Cyient Ltd. ,It enabled services – software,1.75,8.7,1.75,0.07,0.78  (Dec 2018),0  (Jul 2018),16.00 k,2.00 k,Small Cap,66.43
17,Relaxo Footwears Ltd. ,Leather and leather products,1.75,8.7,1.75,-0.06,0.72  (Dec 2018),0  (Jul 2018),20.00 k,10.00 k,Mid Cap,12.45
18,- Supreme Industries Ltd. ,Plastic products,1.73,8.6,1.73,0.00,1.67  (Apr 2019),0  (Jul 2018),7.50 k,0.00 ,Mid Cap,12.45
19,Mahanagar Gas Ltd. ,Lpg/cng/png/lng supplier,1.71,8.5,1.71,-0.01,0.64  (Dec 2018),0  (Jul 2018),10.00 k,1.00 k,Small Cap,66.43
20,Sagar Cements Ltd. ,Cement,2.83,8.2,1.65,-0.16,1.48  (Mar 2019),0  (Jul 2018),12.35 k,0.00 ,Small Cap,66.43
21,Navin Flourine International Ltd. ,Chemicals - inorganic,1.64,8.1,1.64,-0.18,1.25  (Jan 2019),0  (Jul 2018),11.50 k,0.00 ,Small Cap,66.43
22,TTK Prestige Ltd. ,Houseware,1.63,8.1,1.63,0.44,1.19  (May 2019),0  (Jul 2018),1.20 k,420.00 ,Small Cap,66.43
23,Bajaj Electricals Ltd. ,Home appliances,3.04,7.9,1.60,-0.13,1.31  (Feb 2019),0  (Jul 2018),15.00 k,0.00 ,Small Cap,66.43
24,Jamna Auto Inds. Ltd. ,Auto ancillaries,4.89,7.9,1.59,-0.12,0.39  (Feb 2019),0  (Jul 2018),1.50 L,10.00 k,Small Cap,66.43
25,TCI Express Ltd. ,Logistics solution provider,1.59,7.9,1.59,-0.04,0.74  (Dec 2018),0  (Jul 2018),12.00 k,1.25 k,Small Cap,66.43
26,Nrb Bearings Ltd. ,Bearings,4.15,7.4,1.49,-0.14,0.99  (Dec 2018),0  (Jul 2018),45.00 k,0.00 ,Small Cap,66.43
27,Symphony Ltd. ,Consumer elctronics,1.49,7.4,1.49,-0.47,1.49  (Jun 2019),0  (Jul 2018),6.00 k,0.00 ,Small Cap,66.43
28,La-Opala RG Ltd. ,Glass – consumer,1.47,7.3,1.47,-0.14,0.7  (Dec 2018),0  (Jul 2018),37.50 k,0.00 ,Small Cap,66.43
29,Security and Intelligence Services (India) Ltd. ,Diversified commercial services,2.51,7.2,1.46,-0.11,1.46  (Jun 2019),0  (Jul 2018),8.00 k,0.00 ,Small Cap,66.43
30,Whirlpool Of India Ltd. ,Home appliances,3.04,7.2,1.44,0.03,1  (Apr 2019),0  (Jul 2018),4.50 k,0.00 ,Mid Cap,12.45
31,Sudarshan Chemical Industries Ltd. ,Dyes and pigments,1.42,7,1.42,-0.01,0.9  (Feb 2019),0  (Jul 2018),22.00 k,2.00 k,Small Cap,66.43
32,KPIT Engineering Ltd. ,Auto ancillaries,4.89,6.9,1.38,-0.10,1.11  (Apr 2019),0  (Jul 2018),71.00 k,0.00 ,Other,1.38
33,Bharat Financial Inclusion Ltd. ,Nbfc,3.87,6.7,1.35,-0.26,1.35  (Jun 2019),0  (Jul 2018),7.50 k,0.00 ,Mid Cap,12.45
34,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.32,6.5,1.32,-0.29,1.26  (Mar 2019),0  (Jul 2018),20.00 k,0.00 ,Small Cap,66.43
35,Indostar Capital Finance Private Ltd. ,Nbfc,3.87,6.4,1.29,-0.19,1.29  (Jun 2019),0  (Jul 2018),17.50 k,0.00 ,Small Cap,66.43
36,Shilpa Medicare Ltd. ,Pharmaceuticals,4.63,6.2,1.24,-0.11,0.39  (Dec 2018),0  (Jul 2018),18.00 k,0.00 ,Small Cap,66.43
37,WABCO India Ltd. ,Auto ancillaries,4.89,6.1,1.23,-0.12,1.23  (Jun 2019),0  (Jul 2018),1.00 k,0.00 ,Mid Cap,12.45
38,HDFC Bank Ltd. ,Banks,5.82,6.1,1.23,-0.07,1.11  (Jan 2019),0  (Jul 2018),2.50 k,0.00 ,Large Cap,3.19
39,Mas Financial Services Ltd. ,Nbfc,3.87,6.1,1.23,0.09,1.14  (May 2019),0  (Jul 2018),10.00 k,0.00 ,Small Cap,66.43
40,SRF Ltd. ,Textiles,1.2,5.9,1.20,0.01,1.19  (May 2019),0  (Jul 2018),1.95 k,0.00 ,Mid Cap,12.45
41,Heidelberg Cement India Ltd. ,Cement,2.83,5.9,1.18,-0.15,0.35  (Feb 2019),0  (Jul 2018),30.00 k,0.00 ,Small Cap,66.43
42,Orient Refractories Ltd. ,Castings/forgings,1.16,5.7,1.16,-0.20,1.08  (Jan 2019),0  (Jul 2018),28.25 k,0.00 ,Small Cap,66.43
43,MRF Ltd. ,Tyres & allied,1.14,5.7,1.14,-0.04,1.14  (Jun 2019),0  (Jul 2018),100.00 ,0.00 ,Mid Cap,12.45
44,Jyothy Laboratories Ltd. ,Personal care,1.1,5.5,1.10,-0.16,1.1  (Jun 2019),0  (Jul 2018),34.51 k,0.00 ,Small Cap,66.43
45,Lemon Tree Hotels Ltd. ,Hotels,1.08,5.4,1.08,-0.21,1.08  (Jun 2019),0  (Jul 2018),80.00 k,0.00 ,Small Cap,66.43
46,Swaraj Engines Ltd. ,Diesel engines,1.06,5.3,1.06,-0.07,1.06  (Jun 2019),0  (Jul 2018),3.75 k,0.00 ,Small Cap,66.43
47,Quess Corp Ltd. ,Diversified commercial services,2.51,5.2,1.05,-0.20,0.89  (Dec 2018),0  (Jul 2018),9.00 k,0.00 ,Small Cap,66.43
48,# Galaxy Surfactants Ltd. ,Chemicals - speciality,2.67,4.3,0.87,0.87,0.87  (Jun 2019),0  (Jul 2018),3.50 k,3.50 k,Small Cap,66.43
49,CCL Products (India) Ltd. ,Tea &  coffee,0.87,4.3,0.87,-0.07,0.87  (Jun 2019),0  (Jul 2018),17.00 k,0.00 ,Small Cap,66.43
50,DR. LAL PATHLABS Ltd. ,Healthcare service providers ,0.86,4.3,0.86,-0.03,0.84  (Dec 2018),0  (Jul 2018),4.00 k,0.00 ,Small Cap,66.43
51,JMC Projects (India) Ltd. ,Construction civil,3.12,4,0.81,-0.05,0.81  (Jun 2019),0  (Jul 2018),30.00 k,0.00 ,Small Cap,66.43
52,Pfizer Ltd. ,Pharmaceuticals,4.63,4,0.81,-0.01,0.81  (Jun 2019),0  (Jul 2018),1.20 k,0.00 ,Mid Cap,12.45
53,# Minda Corporation Ltd. ,Auto ancillaries,4.89,3.4,0.69,0.69,0.69  (Jun 2019),0  (Jul 2018),31.00 k,31.00 k,Small Cap,66.43
