,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Ipca Laboratories Ltd. ,Pharmaceuticals,7.57,2345,4.45,-0.23,3.33  (Jun 2018),3.33  (Jun 2018),25.00 L,0.00 ,Mid Cap,17.27
1,Atul Ltd. ,Chemicals - speciality,7.25,2162.3,4.10,0.31,3.62  (Jun 2018),3.62  (Jun 2018),5.34 L,-0.28 L,Mid Cap,17.27
2,DCB Bank Ltd. ,Banks,4.59,2103.6,3.99,0.23,2.87  (Jul 2018),2.87  (Jul 2018),90.23 L,0.00 ,Small Cap,76.89
3,SRF Ltd. ,Textiles,3.55,1872.8,3.55,0.23,2.97  (Jan 2019),2.97  (Jan 2019),6.58 L,0.00 ,Mid Cap,17.27
4,Aarti Industries Ltd. ,Chemicals - speciality,7.25,1662.6,3.15,-0.31,3.15  (May 2019),3.15  (May 2019),8.89 L,-1.97 L,Mid Cap,17.27
5,APL Apollo Tubes Ltd. ,Steel products,5.89,1626.2,3.08,-0.05,2.33  (Jan 2019),2.33  (Jan 2019),10.03 L,0.00 ,Small Cap,76.89
6,Finolex Cables Ltd. ,Cables - electricals,2.82,1487.4,2.82,0.36,2.45  (Feb 2019),2.45  (Feb 2019),32.65 L,4.25 L,Small Cap,76.89
7,K.P.R. Mill Ltd. ,Fabrics and garments,7.94,1391.6,2.64,-0.02,2.47  (Jan 2019),2.47  (Jan 2019),22.57 L,0.00 ,Small Cap,76.89
8,- Welspun India Ltd. ,Fabrics and garments,7.94,1153.2,2.19,0.00,1.99  (Jun 2018),1.99  (Jun 2018),2.09 Cr,0.00 ,Small Cap,76.89
9,Navin Flourine International Ltd. ,Chemicals - inorganic,4.34,1135.8,2.15,0.18,1.79  (Jun 2018),1.79  (Jun 2018),15.38 L,41.26 k,Small Cap,76.89
10,Kalpataru Power Transmission Ltd. ,Transmission towers,2.15,1131.9,2.15,-0.23,1.69  (Aug 2018),1.69  (Aug 2018),22.41 L,-3.54 L,Small Cap,76.89
11,Cera Sanitaryware Ltd. ,Sanitary ware,4.02,1112.4,2.11,0.08,1.64  (Aug 2018),1.64  (Aug 2018),3.70 L,403.00 ,Small Cap,76.89
12,Nilkamal Ltd. ,Plastic products,3.96,1102.4,2.09,0.04,2.05  (Apr 2019),2.05  (Apr 2019),9.06 L,1.19 L,Small Cap,76.89
13,Ratnamani Metals & Tubes Ltd. ,Steel products,5.89,1079.7,2.05,0.06,1.84  (Aug 2018),1.84  (Aug 2018),11.42 L,0.00 ,Small Cap,76.89
