,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Equitas Holdings Ltd. ,Investment companies,3.27,97.8,3.27,0.12,3.15  (Apr 2019),0  (Jun 2018),7.03 L,1.51 L,Small Cap,67.52
1,Ujjivan Small Finance Bank Ltd. ,Banks,10.74,94,3.14,0.65,2.49  (Apr 2019),0  (Jun 2018),2.59 L,84.15 k,Small Cap,67.52
2,# Deepak Nitrite Ltd. ,Chemicals - speciality,7.77,87.4,2.93,2.93,2.93  (May 2019),0  (Jun 2018),2.77 L,2.77 L,Small Cap,67.52
3,NIIT Techonologies Ltd. ,Computers - software,3.48,87.1,2.92,-0.19,2.09  (Mar 2019),0  (Jun 2018),66.69 k,11.88 k,Small Cap,67.52
4,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",4.16,70.5,2.36,0.07,1.2  (Feb 2019),0  (Jun 2018),1.87 L,20.76 k,Small Cap,67.52
5,Federal Bank Ltd. ,Banks,10.74,70.2,2.35,0.76,1.44  (Mar 2019),0  (Jun 2018),6.54 L,2.63 L,Mid Cap,25.93
6,J.b. Chemicals & Pharmaceuticals Ltd. ,Pharmaceuticals,3.86,68.5,2.29,0.71,1.44  (Mar 2019),0  (Jun 2018),1.83 L,78.18 k,Small Cap,67.52
7,V.I.P. Industries Ltd ,Plastic products - consumer,2.22,66.3,2.22,-0.56,1.34  (Feb 2019),0  (Jun 2018),1.51 L,15.29 k,Small Cap,67.52
8,RBL Bank Ltd. ,Banks,10.74,64.6,2.16,0.24,1.12  (Feb 2019),0  (Jun 2018),93.91 k,29.50 k,Mid Cap,25.93
9,NCC Ltd. ,"Engineering, designing, construction",6.28,62.8,2.10,0.41,1.69  (Apr 2019),0  (Jun 2018),6.42 L,2.54 L,Small Cap,67.52
10,Praj Industries Ltd. ,"Engineering, designing, construction",6.28,62.7,2.10,0.74,0.91  (Mar 2019),0  (Jun 2018),4.32 L,2.05 L,Small Cap,67.52
11,J.K. Cement Ltd. ,Cement,3.81,61.6,2.06,-0.16,1.9  (Feb 2019),0  (Jun 2018),59.10 k,3.15 k,Small Cap,67.52
12,Blue Star Ltd. ,Air conditioner,2.02,60.3,2.02,0.32,1.5  (Mar 2019),0  (Jun 2018),74.74 k,17.51 k,Small Cap,67.52
13,Aarti Industries Ltd. ,Chemicals - speciality,7.77,60,2.01,0.03,1.35  (Feb 2019),0  (Jun 2018),32.09 k,4.24 k,Mid Cap,25.93
14,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,3.95,59.3,1.98,-0.06,1.22  (Feb 2019),0  (Jun 2018),38.67 k,5.10 k,Mid Cap,25.93
15,Muthoot Finance Pvt. Ltd. ,Nbfc,3.95,58.8,1.97,0.80,0.9  (Mar 2019),0  (Jun 2018),90.29 k,45.67 k,Mid Cap,25.93
16,Sobha Ltd. ,Residential/commercial/sez project,4.16,56.7,1.90,-0.25,1.33  (Feb 2019),0  (Jun 2018),1.04 L,1.73 k,Small Cap,67.52
17,City Union Bank Ltd. ,Banks,10.74,54.1,1.81,-0.46,0.73  (Feb 2019),0  (Jun 2018),2.55 L,0.00 ,Mid Cap,25.93
18,Jubilant Foodworks Ltd. ,Consumer food,1.81,54,1.81,0.32,1.49  (Apr 2019),0  (Jun 2018),41.30 k,15.75 k,Mid Cap,25.93
19,PVR Ltd. ,"Flim production, distribution & exhibition",4.16,53.6,1.80,-0.53,1.47  (Mar 2019),0  (Jun 2018),30.09 k,0.00 ,Small Cap,67.52
20,Associated Cement Companies Ltd. ,Cement,3.81,52.3,1.75,0.14,1.61  (Apr 2019),0  (Jun 2018),31.01 k,8.46 k,Large Cap,1.75
21,Radico Khaitan Ltd. ,Brew/distilleries,1.68,50.1,1.68,-0.10,1.42  (Mar 2019),0  (Jun 2018),1.49 L,33.71 k,Small Cap,67.52
22,Kalpataru Power Transmission Ltd. ,Transmission towers,1.59,47.4,1.59,0.05,1.34  (Mar 2019),0  (Jun 2018),93.77 k,18.33 k,Small Cap,67.52
23,Ipca Laboratories Ltd. ,Pharmaceuticals,3.86,47,1.57,-0.52,1.57  (May 2019),0  (Jun 2018),50.11 k,0.00 ,Mid Cap,25.93
24,# Kajaria Ceramics Ltd. ,Sanitary ware,1.54,46.1,1.54,1.54,1.54  (May 2019),0  (Jun 2018),72.43 k,72.43 k,Small Cap,67.52
25,KEI Industries Ltd. ,Cables - electricals,1.53,45.7,1.53,0.12,1.41  (Apr 2019),0  (Jun 2018),86.93 k,8.20 k,Small Cap,67.52
26,Orient Electric Ltd. ,Home appliances,2.95,45.5,1.52,0.24,1.28  (Apr 2019),0  (Jun 2018),2.74 L,82.12 k,Small Cap,67.52
27,JMC Projects (India) Ltd. ,Construction civil,3.52,43.3,1.45,0.42,1.03  (Apr 2019),0  (Jun 2018),3.23 L,1.15 L,Small Cap,67.52
28,Atul Ltd. ,Chemicals - speciality,7.77,43,1.44,0.12,1.32  (Apr 2019),0  (Jun 2018),10.61 k,1.82 k,Mid Cap,25.93
29,SKF India Ltd. ,Bearings,2.52,41.9,1.40,0.21,0.92  (Mar 2019),0  (Jun 2018),22.16 k,8.42 k,Small Cap,67.52
30,Carborundum Universal Ltd. ,Abrasives,2.58,41.6,1.39,-0.35,1.39  (May 2019),0  (Jun 2018),1.11 L,0.00 ,Small Cap,67.52
31,Vinati Organics Ltd. ,Chemicals - speciality,7.77,41.4,1.39,-0.13,1.13  (Mar 2019),0  (Jun 2018),19.20 k,0.00 ,Small Cap,67.52
32,Navin Flourine International Ltd. ,Chemicals - inorganic,1.34,40.1,1.34,0.03,0.8  (Feb 2019),0  (Jun 2018),54.32 k,9.63 k,Small Cap,67.52
33,Tube Investments Of India Ltd. ,Auto ancillaries,4.25,38.9,1.30,-0.36,1.3  (May 2019),0  (Jun 2018),99.87 k,0.00 ,Small Cap,67.52
34,Phoenix Mills Ltd. ,Residential/commercial/sez project,4.16,38.3,1.28,0.58,0.7  (Apr 2019),0  (Jun 2018),58.83 k,32.14 k,Small Cap,67.52
35,Indian Bank ,Banks,10.74,38.3,1.28,0.30,0.98  (Apr 2019),0  (Jun 2018),1.38 L,49.80 k,Mid Cap,25.93
36,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",6.28,37.8,1.26,0.45,0.81  (Apr 2019),0  (Jun 2018),2.64 L,1.15 L,Small Cap,67.52
37,Apar Industries Ltd. ,Power equipment,2.24,37.7,1.26,-0.38,0.72  (Feb 2019),0  (Jun 2018),56.21 k,0.00 ,Small Cap,67.52
38,Lemon Tree Hotels Ltd. ,Hotels,1.25,37.2,1.25,-0.38,1.21  (Mar 2019),0  (Jun 2018),4.95 L,0.00 ,Small Cap,67.52
39,Subros Ltd. ,Auto ancillaries,4.25,36.1,1.21,-0.35,0.43  (Mar 2019),0  (Jun 2018),1.34 L,7.22 k,Small Cap,67.52
40,Grindwell Norton Ltd. ,Abrasives,2.58,35.5,1.19,-0.10,1.19  (May 2019),0  (Jun 2018),59.55 k,11.04 k,Small Cap,67.52
41,Aavas Financiers Ltd. ,Housing finance,1.16,34.7,1.16,-0.12,1.16  (May 2019),0  (Jun 2018),24.42 k,0.00 ,Mid Cap,25.93
42,Schaeffler India Ltd. ,Bearings,2.52,33.6,1.12,-0.42,1.12  (May 2019),0  (Jun 2018),6.52 k,0.00 ,Mid Cap,25.93
43,Teamlease Services Ltd. ,Diversified commercial services,1.1,32.7,1.10,-0.32,1.1  (May 2019),0  (Jun 2018),10.91 k,0.00 ,Small Cap,67.52
44,Bajaj Electricals Ltd. ,Home appliances,2.95,32.5,1.09,-0.12,1.09  (May 2019),0  (Jun 2018),60.54 k,12.15 k,Small Cap,67.52
45,Apollo Hospitals Enterprises Ltd. ,Hospital,1.04,31,1.04,-0.29,0.8  (Mar 2019),0  (Jun 2018),25.04 k,0.00 ,Mid Cap,25.93
46,Minda Industries Ltd. ,Auto ancillaries,4.25,29.5,0.99,-0.07,0.63  (Mar 2019),0  (Jun 2018),86.12 k,19.72 k,Small Cap,67.52
