,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,HDFC Bank Ltd. ,Banks,12.88,3355.8,4.43,0.10,2.66  (Jun 2018),2.66  (Jun 2018),13.84 L,0.00 ,Large Cap,14.3
1,Deepak Nitrite Ltd. ,Chemicals - speciality,4.46,1821,2.40,0.34,1.77  (Dec 2018),1.77  (Dec 2018),57.78 L,0.00 ,Small Cap,67.03
2,Vardhman Textiles Ltd. ,Spinning-cotton/blended,2.38,1803.6,2.38,-0.14,2.38  (May 2019),2.38  (May 2019),16.56 L,0.00 ,Small Cap,67.03
3,Finolex Cables Ltd. ,Cables - electricals,2.89,1801.3,2.38,0.03,2.33  (Jan 2019),2.33  (Jan 2019),39.54 L,0.00 ,Small Cap,67.03
4,Hindustan Petroleum Corporation Ltd. ,Refineries/marketing,2.36,1788.9,2.36,0.19,1.17  (Aug 2018),1.17  (Aug 2018),55.17 L,0.00 ,Large Cap,14.3
5,Cyient Ltd. ,It enabled services – software,4.07,1769.8,2.34,-0.18,2.1  (Jun 2018),2.1  (Jun 2018),31.54 L,0.00 ,Small Cap,67.03
6,Brigade Enterprises Ltd. ,Residential/commercial/sez project,3.77,1596.4,2.11,0.20,1.53  (Oct 2018),1.53  (Oct 2018),63.51 L,0.00 ,Small Cap,67.03
7,Atul Ltd. ,Chemicals - speciality,4.46,1560.5,2.06,0.27,1.46  (Jun 2018),1.46  (Jun 2018),3.86 L,0.00 ,Mid Cap,11.96
8,Voltas Limited ,"Engineering, designing, construction",3.12,1462.6,1.93,-0.12,1.86  (Jun 2018),1.86  (Jun 2018),25.21 L,0.00 ,Mid Cap,11.96
9,DCB Bank Ltd. ,Banks,12.88,1457,1.92,0.13,0.35  (Jun 2018),0.35  (Jun 2018),62.49 L,0.00 ,Small Cap,67.03
10,Repco Home Finance Ltd. ,Housing finance,3.34,1456.4,1.92,-0.12,1.79  (Feb 2019),1.79  (Feb 2019),36.16 L,0.00 ,Small Cap,67.03
11,Jyothy Laboratories Ltd. ,Personal care,1.91,1446.4,1.91,-0.07,1.4  (Aug 2018),1.4  (Aug 2018),84.63 L,3.00 L,Small Cap,67.03
12,NESCO Ltd. ,Diversified commercial services,3.18,1441.4,1.90,0.01,1.78  (Dec 2018),1.78  (Dec 2018),28.25 L,0.00 ,Small Cap,67.03
13,Equitas Holdings Ltd. ,Investment companies,1.79,1359.4,1.79,0.07,1.56  (Nov 2018),1.56  (Nov 2018),97.73 L,0.00 ,Small Cap,67.03
