,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Chambal Fertilizers & Chemicals Ltd. ,Fertilisers-composite,3.09,2594.3,3.09,0.31,2.43  (Jul 2018),2.43  (Jul 2018),1.37 Cr,0.00 ,Small Cap,64.38
1,Sonata Software Ltd. ,Computers - software,6.08,2583.9,3.08,-0.02,2.46  (Aug 2018),2.46  (Aug 2018),72.44 L,65.80 k,Small Cap,64.38
2,NIIT Techonologies Ltd. ,Computers - software,6.08,2524.5,3.00,-0.18,2.9  (Sep 2018),2.9  (Sep 2018),19.32 L,50.00 k,Small Cap,64.38
3,Bank Of Baroda ,Banks,12.41,2339.4,2.78,1.16,1.62  (Apr 2019),0  (Jun 2018),1.76 Cr,69.43 L,Large Cap,5.45
4,Aurobindo Pharma Ltd. ,Pharmaceuticals,4.25,2240.6,2.67,-0.79,2.67  (May 2019),2.67  (May 2019),33.32 L,1.00 L,Large Cap,5.45
5,DCB Bank Ltd. ,Banks,12.41,2200.6,2.62,2.39,0.23  (Apr 2019),0  (Jun 2018),94.39 L,86.19 L,Small Cap,64.38
6,Balkrishna Industries Ltd. ,Tyres & allied,2.96,2089.2,2.49,-0.71,2.03  (Nov 2018),0  (Jun 2018),26.83 L,0.00 ,Mid Cap,16.78
7,Gujarat Fluorochemicals Ltd. ,Power equipment,3.16,2076.2,2.47,-0.21,1.8  (Dec 2018),0  (Jun 2018),19.74 L,0.00 ,Mid Cap,16.78
8,Federal Bank Ltd. ,Banks,12.41,2060,2.45,1.34,0.57  (Sep 2018),0.57  (Sep 2018),1.92 Cr,1.00 Cr,Mid Cap,16.78
9,- Indian Bank ,Banks,12.41,2021,2.41,0.00,2.08  (Aug 2018),2.08  (Aug 2018),73.11 L,0.00 ,Mid Cap,16.78
10,Firstsource Solutions Ltd. ,It enabled services – software,2.84,1911.9,2.28,0.25,1.85  (Mar 2019),1.85  (Mar 2019),3.50 Cr,41.97 L,Small Cap,64.38
11,Sharda Cropchem Ltd. ,Pesticides and agrochemicals,3.55,1919,2.28,-0.28,2.28  (May 2019),2.28  (May 2019),54.30 L,7.20 k,Small Cap,64.38
12,Indian Hotels Company Limited ,Hotels/resorts,6.06,1888.2,2.25,-0.17,1.13  (Aug 2018),1.13  (Aug 2018),1.20 Cr,0.00 ,Mid Cap,16.78
13,KEC International Ltd. ,"Engineering, designing, construction",5.5,1837.4,2.19,0.09,0.47  (Sep 2018),0  (Jun 2018),57.40 L,1.00 L,Small Cap,64.38
14,KEI Industries Ltd. ,Cables - electricals,2.19,1839.6,2.19,0.41,1.02  (Sep 2018),1.02  (Sep 2018),34.99 L,1.52 L,Small Cap,64.38
15,Sadbhav Engineering Ltd. ,"Engineering, designing, construction",5.5,1802.7,2.15,0.09,0.4  (Feb 2019),0.4  (Feb 2019),70.90 L,4.29 L,Small Cap,64.38
16,Kalpataru Power Transmission Ltd. ,Transmission towers,2.1,1767.3,2.10,0.03,0.79  (Sep 2018),0.79  (Sep 2018),35.00 L,95.00 k,Small Cap,64.38
17,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",2.07,1739.3,2.07,0.18,1.27  (Jul 2018),0  (Jun 2018),46.23 L,0.00 ,Small Cap,64.38
18,SKF India Ltd. ,Bearings,3.8,1727.5,2.06,-0.29,1.97  (Mar 2019),1.97  (Mar 2019),9.13 L,0.00 ,Small Cap,64.38
19,Chalet Hotels Ltd. ,Hotels/resorts,6.06,1692.4,2.01,-0.03,0.55  (Jan 2019),0  (Jun 2018),48.47 L,0.00 ,Other,2.01
20,Atul Ltd. ,Chemicals - speciality,1.75,1467.2,1.75,0.34,1.41  (Apr 2019),1.41  (Apr 2019),3.63 L,47.32 k,Mid Cap,16.78
21,Nrb Bearings Ltd. ,Bearings,3.8,1465.1,1.74,-0.34,0.94  (Sep 2018),0.94  (Sep 2018),86.69 L,1.25 L,Small Cap,64.38
22,Repco Home Finance Ltd. ,Housing finance,1.68,1412.7,1.68,-0.23,0.4  (Nov 2018),0  (Jun 2018),35.07 L,0.00 ,Small Cap,64.38
23,PNC Infratech Ltd. ,Construction civil,1.61,1352.3,1.61,0.40,0.81  (Feb 2019),0.81  (Feb 2019),69.14 L,7.68 L,Small Cap,64.38
24,Oriental Bank Of Commerce ,Banks,12.41,1346.2,1.60,-0.11,0.45  (Jun 2018),0.45  (Jun 2018),1.36 Cr,0.00 ,Mid Cap,16.78
25,Vardhman Textiles Ltd. ,Spinning-cotton/blended,1.58,1330,1.58,-0.04,1.58  (May 2019),1.58  (May 2019),12.21 L,1.19 L,Small Cap,64.38
26,Tube Investments Of India Ltd. ,Auto ancillaries,3.28,1311.6,1.56,-0.09,1.11  (Jul 2018),1.11  (Jul 2018),33.68 L,53.10 k,Small Cap,64.38
27,Tata Metaliks Ltd. ,Pig iron,2.08,1273.1,1.52,-0.20,1.49  (Jul 2018),1.49  (Jul 2018),21.13 L,0.00 ,Small Cap,64.38
28,Great Eastern Shipping Co. Ltd. ,Shipping,1.45,1219.2,1.45,-0.19,0.92  (Jun 2018),0.92  (Jun 2018),43.50 L,0.00 ,Small Cap,64.38
29,EIH Ltd ,Hotels/resorts,6.06,1138.8,1.36,-0.16,1.36  (May 2019),1.36  (May 2019),61.69 L,0.00 ,Mid Cap,16.78
30,Bajaj Electricals Ltd. ,Home appliances,1.34,1126.6,1.34,-0.21,0.43  (Mar 2019),0  (Jun 2018),20.96 L,26.45 k,Small Cap,64.38
31,Finolex Industries Ltd. ,Plastic products,2.98,1130,1.34,-0.04,1.34  (May 2019),0  (Jun 2018),22.82 L,0.00 ,Small Cap,64.38
32,TV Today Network Ltd. ,Tv broadcasting & software production,1.34,1128.3,1.34,-0.22,1.34  (May 2019),1.34  (May 2019),38.92 L,0.00 ,Small Cap,64.38
33,Insecticides (India) Ltd. ,Pesticides and agrochemicals,3.55,1066,1.27,0.05,0.51  (Oct 2018),0.51  (Oct 2018),15.24 L,28.75 k,Small Cap,64.38
34,Carborundum Universal Ltd. ,Abrasives,1.22,1027,1.22,-0.06,1.22  (May 2019),1.22  (May 2019),27.27 L,0.00 ,Small Cap,64.38
35,Power Mech Projects Ltd. ,"Engineering, designing, construction",5.5,973.7,1.16,0.12,1.04  (Apr 2019),1.04  (Apr 2019),9.28 L,33.00 k,Small Cap,64.38
36,Advanced Enzyme Technologies Ltd. ,Consumer products,1.11,933.5,1.11,0.03,1.03  (Feb 2019),1.03  (Feb 2019),43.51 L,0.00 ,Small Cap,64.38
37,Nilkamal Ltd. ,Plastic products,2.98,828.6,0.99,-0.19,0.99  (May 2019),0.99  (May 2019),6.81 L,0.00 ,Small Cap,64.38
38,Merck Ltd. ,Pharmaceuticals,4.25,770.3,0.92,0.66,0.26  (Apr 2019),0.26  (Apr 2019),1.88 L,1.35 L,Small Cap,64.38
39,Orient Refractories Ltd. ,Castings/forgings,0.8,672.8,0.80,-0.14,0.63  (Sep 2018),0  (Jun 2018),29.87 L,0.00 ,Small Cap,64.38
40,Redington (India) Ltd. ,Logistics solution provider,0.78,651.3,0.78,-0.08,0.77  (Jan 2019),0.77  (Jan 2019),65.03 L,0.00 ,Small Cap,64.38
41,Oriental Carbon and Chemicals Ltd. ,Chemicals - inorganic,0.76,640.9,0.76,-0.06,0.76  (May 2019),0.76  (May 2019),5.46 L,0.00 ,Small Cap,64.38
42,Unichem Laboratories Ltd. ,Pharmaceuticals,4.25,550.8,0.66,-0.06,0.21  (Dec 2018),0.21  (Dec 2018),28.92 L,0.00 ,Small Cap,64.38
43,IFGL Refractories Limited ,Refractories,1.23,547.6,0.65,-0.15,0.09  (Jun 2018),0.09  (Jun 2018),25.97 L,0.00 ,Small Cap,64.38
44,L G Balakrishnan & Bros Ltd. ,Auto ancillaries,3.28,513.5,0.61,-0.05,0.61  (May 2019),0.61  (May 2019),13.79 L,0.00 ,Small Cap,64.38
45,Gabriel India Ltd. ,Auto ancillaries,3.28,504.1,0.60,-0.12,0.15  (Oct 2018),0  (Jun 2018),37.69 L,0.00 ,Small Cap,64.38
46,Vesuvius India Ltd. ,Refractories,1.23,487.7,0.58,-0.04,0.58  (May 2019),0.58  (May 2019),4.18 L,0.00 ,Small Cap,64.38
47,Apar Industries Ltd. ,Power equipment,3.16,479.6,0.57,-0.05,0.57  (May 2019),0.57  (May 2019),7.16 L,0.00 ,Small Cap,64.38
48,eClerx Services Ltd. ,It enabled services – software,2.84,468.6,0.56,-0.19,0.56  (May 2019),0.56  (May 2019),5.02 L,0.00 ,Small Cap,64.38
49,Kirloskar Ferrous Industries Ltd. ,Pig iron,2.08,470.9,0.56,-0.07,0.33  (Jul 2018),0.33  (Jul 2018),53.26 L,25.00 k,Small Cap,64.38
50,Allahabad Bank ,Banks,12.41,465.9,0.55,-0.09,0.44  (Sep 2018),0.44  (Sep 2018),1.04 Cr,0.00 ,Small Cap,64.38
51,Jagran Prakashan Ltd. ,Printing and publishing,0.94,465.7,0.55,-0.05,0.52  (Feb 2019),0.52  (Feb 2019),40.53 L,0.00 ,Small Cap,64.38
52,Lemon Tree Hotels Ltd. ,Hotels,0.55,461.6,0.55,-0.05,0.55  (May 2019),0.55  (May 2019),61.42 L,0.00 ,Small Cap,64.38
53,Shaily Engineering Plastics Ltd. ,Plastic products,2.98,441.8,0.53,-0.14,0.53  (May 2019),0.53  (May 2019),6.90 L,0.00 ,Small Cap,64.38
54,Goodyear India Ltd. ,Tyres & allied,2.96,396,0.47,-0.05,0.46  (Jan 2019),0.46  (Jan 2019),4.19 L,0.00 ,Small Cap,64.38
55,Atul Auto Ltd. ,Commercial vehicles,0.45,382,0.45,-0.07,0.45  (May 2019),0.45  (May 2019),12.17 L,0.00 ,Small Cap,64.38
