,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Vinati Organics Ltd. ,Chemicals - speciality,5.51,234.1,3.13,-0.05,2.52  (Feb 2019),2.52  (Feb 2019),1.10 L,-5.00 k,Small Cap,77.39
1,DCB Bank Ltd. ,Banks,10.23,213.4,2.86,-0.13,1.97  (Jul 2018),1.97  (Jul 2018),9.00 L,-1.00 L,Small Cap,77.39
2,Prestige Estates Projects Ltd. ,Residential/commercial/sez project,2.73,204.3,2.73,-0.04,1.04  (Sep 2018),0  (Jul 2018),7.50 L,0.00 ,Mid Cap,16.61
3,City Union Bank Ltd. ,Banks,10.23,196.3,2.63,-0.09,2.06  (Jul 2018),2.06  (Jul 2018),9.00 L,-1.00 L,Mid Cap,16.61
4,KEI Industries Ltd. ,Cables - electricals,4.79,192,2.57,-0.13,0.99  (Oct 2018),0.99  (Oct 2018),4.00 L,0.00 ,Small Cap,77.39
5,RBL Bank Ltd. ,Banks,10.23,191.6,2.56,-0.09,2.13  (Aug 2018),0  (Jul 2018),3.00 L,0.00 ,Mid Cap,16.61
6,Kajaria Ceramics Ltd. ,Sanitary ware,6.85,186.2,2.49,-0.12,1.65  (Oct 2018),0  (Jul 2018),3.20 L,0.00 ,Small Cap,77.39
7,Aarti Industries Ltd. ,Chemicals - speciality,5.51,177.8,2.38,-0.02,1.82  (Oct 2018),0  (Jul 2018),1.00 L,0.00 ,Mid Cap,16.61
8,Somany Ceramics Ltd. ,Sanitary ware,6.85,176.4,2.36,0.10,0.93  (Sep 2018),0.93  (Sep 2018),4.00 L,0.00 ,Small Cap,77.39
9,Orient Electric Ltd. ,Home appliances,4.51,175.1,2.34,-0.01,2.08  (Jan 2019),2.08  (Jan 2019),11.00 L,0.00 ,Small Cap,77.39
10,CreditAccess Grameen Ltd. ,Nbfc,2.3,171.7,2.30,-0.39,1.75  (Sep 2018),0  (Jul 2018),3.31 L,-0.69 L,Small Cap,77.39
11,J K Lakshmi Cement Ltd. ,Cement,5.48,170.6,2.28,-0.20,0.2  (Dec 2018),0  (Jul 2018),5.00 L,0.00 ,Small Cap,77.39
12,NIIT Techonologies Ltd. ,Computers - software,3.89,168.1,2.25,0.15,1.85  (Nov 2018),0  (Jul 2018),1.25 L,0.00 ,Small Cap,77.39
13,Amber Enterprises India Ltd. ,Air conditioner,2.21,165,2.21,0.07,1.55  (Jan 2019),0  (Jul 2018),2.00 L,0.00 ,Small Cap,77.39
14,# Federal Bank Ltd. ,Banks,10.23,162.6,2.18,2.18,2.18  (Jun 2019),0  (Jul 2018),15.00 L,15.00 L,Mid Cap,16.61
15,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,4.51,162.4,2.17,0.03,0.51  (Dec 2018),0  (Jul 2018),7.00 L,0.00 ,Mid Cap,16.61
16,Deccan Cements Ltd. ,Cement,5.48,159.3,2.13,-0.02,2.11  (Apr 2019),2.11  (Apr 2019),4.00 L,0.00 ,Small Cap,77.39
17,Dixon Technologies (India) Ltd. ,Consumer elctronics,2.13,158.8,2.13,-0.07,1.37  (Dec 2018),0  (Jul 2018),70.00 k,0.00 ,Small Cap,77.39
18,APL Apollo Tubes Ltd. ,Steel products,2.01,150.1,2.01,-0.07,1.26  (Sep 2018),1.26  (Sep 2018),1.00 L,0.00 ,Small Cap,77.39
19,Cera Sanitaryware Ltd. ,Sanitary ware,6.85,149.1,2.00,0.07,0.25  (Mar 2019),0  (Jul 2018),50.00 k,0.00 ,Small Cap,77.39
20,J.b. Chemicals & Pharmaceuticals Ltd. ,Pharmaceuticals,1.96,146.7,1.96,0.12,1.84  (May 2019),0  (Jul 2018),4.00 L,18.39 k,Small Cap,77.39
