,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Blue Star Ltd. ,Air conditioner,7.05,142.2,4.49,-0.18,2.19  (Sep 2018),2.19  (Sep 2018),1.76 L,0.00 ,Small Cap,80.35
1,PNC Infratech Ltd. ,Construction civil,8.12,110.7,3.50,0.15,3.35  (Apr 2019),3.35  (Apr 2019),5.66 L,0.00 ,Small Cap,80.35
2,Bajaj Consumer Care Ltd. ,Personal care,5.1,97.4,3.08,-0.61,0.21  (Jan 2019),0  (Jun 2018),2.87 L,0.00 ,Small Cap,80.35
3,KNR Constructions ,Construction civil,8.12,93.7,2.96,-0.18,2.96  (May 2019),2.96  (May 2019),3.34 L,290.00 ,Small Cap,80.35
4,Can Fin Homes Ltd. ,Housing finance,2.84,89.8,2.84,1.84,1  (Apr 2019),0  (Jun 2018),2.55 L,1.75 L,Small Cap,80.35
5,J.K. Cement Ltd. ,Cement,2.83,89.4,2.83,-0.20,2.83  (May 2019),0  (Jun 2018),85.74 k,190.00 ,Small Cap,80.35
6,Dixon Technologies (India) Ltd. ,Consumer elctronics,2.73,86.5,2.73,-0.51,2.73  (May 2019),0  (Jun 2018),35.32 k,0.00 ,Small Cap,80.35
7,Cesc Ltd. ,Power,5.4,83.4,2.64,-0.44,2.64  (May 2019),0  (Jun 2018),1.12 L,0.00 ,Small Cap,80.35
8,Amber Enterprises India Ltd. ,Air conditioner,7.05,81,2.56,-0.41,0.96  (Dec 2018),0  (Jun 2018),96.96 k,0.00 ,Small Cap,80.35
9,Brigade Enterprises Ltd. ,Residential/commercial/sez project,3.94,80.1,2.53,-0.24,2.53  (May 2019),2.53  (May 2019),3.19 L,0.00 ,Small Cap,80.35
10,Orient Electric Ltd. ,Home appliances,2.26,71.6,2.26,-0.23,2.15  (Jun 2018),2.15  (Jun 2018),4.30 L,13.33 k,Small Cap,80.35
11,Equitas Holdings Ltd. ,Investment companies,2.18,68.9,2.18,0.18,2  (Apr 2019),0  (Jun 2018),4.95 L,1.04 L,Small Cap,80.35
12,National Thermal Power Corporation Ltd. ,Power,5.4,66.5,2.10,-1.05,2.1  (May 2019),0  (Jun 2018),4.99 L,-1.01 L,Large Cap,2.1
13,Jyothy Laboratories Ltd. ,Personal care,5.1,64,2.02,-0.26,0.3  (Dec 2018),0  (Jun 2018),3.75 L,50.00 k,Small Cap,80.35
14,Alkem Laboratories Ltd. ,Hospital,2.01,63.7,2.01,-0.38,2.01  (May 2019),0  (Jun 2018),35.51 k,0.00 ,Mid Cap,4.59
15,Cyient Ltd. ,It enabled services – software,1.91,60.5,1.91,-0.42,0.99  (Dec 2018),0  (Jun 2018),1.08 L,6.61 k,Small Cap,80.35
16,DCB Bank Ltd. ,Banks,6.02,58,1.83,-0.24,0.91  (Mar 2019),0  (Jun 2018),2.49 L,0.00 ,Small Cap,80.35
17,The Jammu & Kashmir Bank Ltd. ,Banks,6.02,56.1,1.77,-0.24,1.77  (May 2019),1.77  (May 2019),9.45 L,1.00 L,Small Cap,80.35
18,Ipca Laboratories Ltd. ,Pharmaceuticals,4.56,53.5,1.69,-0.44,1.69  (May 2019),1.69  (May 2019),56.97 k,0.00 ,Mid Cap,4.59
19,Tata Metaliks Ltd. ,Pig iron,1.64,52,1.64,-0.27,1.53  (Mar 2019),1.53  (Mar 2019),86.24 k,7.65 k,Small Cap,80.35
20,Sandhar Technologies Ltd. ,Auto ancillaries,1.62,51.3,1.62,-0.18,1.62  (May 2019),1.62  (May 2019),1.72 L,0.00 ,Small Cap,80.35
21,JMC Projects (India) Ltd. ,Construction civil,8.12,51,1.61,-0.07,1.32  (Sep 2018),1.32  (Sep 2018),3.80 L,0.00 ,Small Cap,80.35
22,KEC International Ltd. ,"Engineering, designing, construction",2.63,51,1.61,0.39,1.12  (Sep 2018),0  (Jun 2018),1.59 L,50.00 k,Small Cap,80.35
23,Gujarat Pipavav Port Ltd. ,Port,1.6,50.6,1.60,-0.05,1.6  (May 2019),1.6  (May 2019),5.86 L,1.07 L,Small Cap,80.35
24,J.b. Chemicals & Pharmaceuticals Ltd. ,Pharmaceuticals,4.56,47.1,1.49,-0.20,1.49  (May 2019),1.49  (May 2019),1.25 L,0.00 ,Small Cap,80.35
25,Gateway Distriparks Ltd. ,Logistics solution provider,2.68,44.9,1.42,-0.08,1.42  (May 2019),0  (Jun 2018),3.05 L,18.44 k,Small Cap,80.35
26,Camlin Fine Sciences Ltd. ,Chemicals - speciality,2.51,44.7,1.41,0.01,1.4  (Apr 2019),1.4  (Apr 2019),7.81 L,0.00 ,Small Cap,80.35
27,HSIL Ltd. ,Glass – consumer,1.36,43,1.36,-0.24,1.36  (May 2019),1.36  (May 2019),1.51 L,0.00 ,Small Cap,80.35
28,SpiceJet Ltd. ,Airlines,1.35,42.6,1.35,0.11,0.25  (Jan 2019),0  (Jun 2018),2.92 L,50.00 k,Small Cap,80.35
29,Vst Industries Ltd. ,Cigarettes,1.34,42.5,1.34,-0.23,1.07  (Jun 2018),1.07  (Jun 2018),11.75 k,0.00 ,Small Cap,80.35
30,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.31,41.4,1.31,0.39,0.92  (Apr 2019),0  (Jun 2018),1.10 L,35.06 k,Small Cap,80.35
31,Elgi Equipments Ltd. ,Compressors / pumps,1.28,40.6,1.28,-0.23,1.28  (May 2019),0  (Jun 2018),1.46 L,0.00 ,Small Cap,80.35
32,VRL Logistic Ltd. ,Logistics solution provider,2.68,39.9,1.26,-0.23,1.26  (May 2019),1.26  (May 2019),1.40 L,0.00 ,Small Cap,80.35
33,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,3.94,39.9,1.26,0.73,0.17  (Mar 2019),0  (Jun 2018),1.48 L,88.39 k,Small Cap,80.35
