,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Elantas Beck India Ltd. ,Chemicals - organic,3.57,55.7,3.57,-0.23,2.67  (Jul 2018),2.67  (Jul 2018),25.30 k,0.00 ,Small Cap,63.41
1,Transport Corporation Of India Ltd. ,Logistics solution provider,5.59,47.4,3.04,0.23,2.5  (Sep 2018),2.5  (Sep 2018),1.48 L,0.00 ,Small Cap,63.41
2,KEI Industries Ltd. ,Cables - electricals,3.03,47.3,3.03,-0.16,2.61  (Oct 2018),2.61  (Oct 2018),90.00 k,-0.30 L,Small Cap,63.41
3,Star Cement Ltd. ,Cement products,2.96,46.2,2.96,0.34,1.88  (Jun 2018),1.88  (Jun 2018),3.83 L,0.00 ,Small Cap,63.41
4,Grindwell Norton Ltd. ,Abrasives,3.59,44.7,2.87,-0.10,2.26  (Jun 2018),2.26  (Jun 2018),75.07 k,0.00 ,Small Cap,63.41
5,AIA Engineering Ltd. ,Castings/forgings,4.44,44,2.82,-0.09,2.48  (Jun 2018),2.48  (Jun 2018),24.62 k,0.00 ,Mid Cap,17.98
6,Ahluwalia Contracts (India) Ltd. ,Construction civil,2.71,42.3,2.71,0.02,2.11  (Jul 2018),2.11  (Jul 2018),1.27 L,0.00 ,Small Cap,63.41
7,Cera Sanitaryware Ltd. ,Sanitary ware,2.6,40.6,2.60,0.14,1.84  (Jul 2018),1.84  (Jul 2018),13.49 k,0.00 ,Small Cap,63.41
8,Mahindra Logistics Ltd. ,Logistics solution provider,5.59,39.8,2.55,-0.19,2.33  (Feb 2019),2.33  (Feb 2019),77.72 k,0.00 ,Small Cap,63.41
9,Voltas Limited ,"Engineering, designing, construction",6.26,39.7,2.55,-0.14,2.33  (Sep 2018),2.33  (Sep 2018),68.50 k,0.00 ,Mid Cap,17.98
10,ISGEC Heavy Engineering Ltd. ,Industrial equipment,2.53,39.5,2.53,-0.39,2.02  (Jun 2018),2.02  (Jun 2018),80.00 k,0.00 ,Other,2.64
11,Goodyear India Ltd. ,Tyres & allied,2.36,36.9,2.36,-0.04,2.13  (Jun 2018),2.13  (Jun 2018),38.96 k,0.00 ,Small Cap,63.41
12,Indian Energy Exchange Ltd. ,Capital markets,3.27,36.2,2.32,-0.08,1.47  (Jul 2018),1.47  (Jul 2018),2.32 L,0.00 ,Small Cap,63.41
13,3M India Ltd. ,Diversified commercial services,2.3,35.9,2.30,-0.06,2.3  (May 2019),2.3  (May 2019),1.58 k,0.00 ,Mid Cap,17.98
14,General Insurance Corporation of India ,Insurance,2.27,35.5,2.27,-0.53,2.27  (May 2019),2.27  (May 2019),1.57 L,-0.22 L,Large Cap,2.27
15,Honeywell Automation India Ltd. ,Industrial electronics,2.23,34.8,2.23,-0.38,1.81  (Jun 2018),1.81  (Jun 2018),1.35 k,-0.31 k,Mid Cap,17.98
16,- Hatsun Agro Products Ltd. ,Consumer food,2.31,34.3,2.20,0.00,1.5  (Jun 2018),1.5  (Jun 2018),47.97 k,0.00 ,Mid Cap,17.98
17,NCC Ltd. ,"Engineering, designing, construction",6.26,34.2,2.19,-0.07,1.63  (Sep 2018),1.63  (Sep 2018),3.50 L,0.00 ,Small Cap,63.41
18,Nrb Bearings Ltd. ,Bearings,3.79,34,2.18,-0.27,2.18  (May 2019),2.18  (May 2019),2.01 L,0.00 ,Small Cap,63.41
19,Garware Technical Fibres Ltd. ,Textiles,2.18,34,2.18,0.16,1.73  (Sep 2018),1.73  (Sep 2018),28.52 k,0.00 ,Small Cap,63.41
20,Ingersoll Rand (india) Ltd. ,Compressors / pumps,2.15,33.6,2.15,0.10,1.74  (Jul 2018),1.74  (Jul 2018),51.59 k,0.00 ,Small Cap,63.41
21,Camlin Fine Sciences Ltd. ,Chemicals - speciality,2.14,33.3,2.14,0.40,1.74  (Apr 2019),1.74  (Apr 2019),5.81 L,0.00 ,Small Cap,63.41
22,- Mold-Tek Packaging Ltd. ,Packaging,2.12,33.1,2.12,0.00,1.95  (Jan 2019),1.95  (Jan 2019),1.32 L,0.00 ,Small Cap,63.41
23,City Union Bank Ltd. ,Banks,2,31.1,2.00,-0.07,1.98  (Feb 2019),1.98  (Feb 2019),1.47 L,-0.10 L,Mid Cap,17.98
24,V-Mart Retail Ltd. ,Retailing,1.81,28.3,1.81,-0.27,1.34  (Jul 2018),1.34  (Jul 2018),11.47 k,0.00 ,Small Cap,63.41
25,Kansai Nerolac Paints Ltd. ,Paints,1.78,27.7,1.78,0.05,1.73  (Apr 2019),1.73  (Oct 2018),60.09 k,0.00 ,Mid Cap,17.98
26,Muthoot Capital Services Ltd. ,Nbfc,3.2,27.1,1.73,-0.04,1.73  (May 2019),1.73  (May 2019),36.09 k,0.00 ,Small Cap,63.41
27,GNA Axles Ltd. ,Auto ancillaries,2.72,25.6,1.64,-0.04,1.64  (May 2019),1.64  (May 2019),85.02 k,0.00 ,Small Cap,63.41
28,Heidelberg Cement India Ltd. ,Cement,1.62,25.3,1.62,0.06,0.1  (Sep 2018),0  (Jun 2018),1.22 L,-8.56 k,Small Cap,63.41
29,M M Forgings Ltd. ,Castings/forgings,4.44,25.2,1.62,-0.12,1.53  (Jun 2018),1.53  (Jun 2018),48.46 k,0.00 ,Small Cap,63.41
30,Timken India Ltd. ,Bearings,3.79,25.2,1.61,-0.44,1.61  (May 2019),1.61  (May 2019),37.09 k,-0.20 L,Small Cap,63.41
31,Dishman Carbogen Amcis Ltd. ,Pharmaceuticals,1.56,24.4,1.56,0.08,1.29  (Feb 2019),1.29  (Feb 2019),1.01 L,0.00 ,Small Cap,63.41
32,INEOS Styrolution India Ltd. ,Plastic products,1.54,24,1.54,-0.19,1.54  (May 2019),1.54  (May 2019),48.80 k,0.00 ,Small Cap,63.41
33,KEC International Ltd. ,"Engineering, designing, construction",6.26,23.7,1.52,0.33,0.45  (Mar 2019),0  (Jun 2018),74.00 k,10.00 k,Small Cap,63.41
34,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,3.2,23,1.47,-0.79,1.47  (May 2019),1.47  (May 2019),15.00 k,-0.10 L,Mid Cap,17.98
35,Aegis Logistics Ltd. ,Lpg/cng/png/lng supplier,1.42,22.1,1.42,0.17,1.25  (Apr 2019),1.25  (Apr 2019),97.91 k,0.00 ,Small Cap,63.41
36,Sobha Ltd. ,Residential/commercial/sez project,1,15.6,1.00,0.10,0.9  (Apr 2019),0  (Jun 2018),28.71 k,0.00 ,Small Cap,63.41
37,Lakshmi Machine Works Ltd. ,Textile machinery,0.99,15.4,0.99,-0.05,0.99  (May 2019),0  (Jun 2018),2.75 k,0.00 ,Small Cap,63.41
38,Central Depository Services (India) Ltd. ,Capital markets,3.27,14.8,0.95,-0.04,0.5  (Aug 2018),0  (Jun 2018),65.00 k,0.00 ,Small Cap,63.41
39,VST Tillers Tractors Ltd. ,Tractors,0.95,14.8,0.95,-0.18,0.95  (May 2019),0.95  (May 2019),11.34 k,-2.23 k,Small Cap,63.41
40,Carborundum Universal Ltd. ,Abrasives,3.59,11.3,0.72,0.02,0.7  (Apr 2019),0  (Jun 2018),30.00 k,0.00 ,Small Cap,63.41
41,Cyient Ltd. ,It enabled services – software,0.72,11.2,0.72,-0.05,0.61  (Mar 2019),0  (Jun 2018),20.00 k,0.00 ,Small Cap,63.41
42,WABCO India Ltd. ,Auto ancillaries,2.72,9.8,0.63,-0.39,0.63  (May 2019),0.63  (May 2019),1.56 k,-0.94 k,Mid Cap,17.98
43,Rajapalayam Mills Ltd. ,Spinning-cotton/blended,0.59,9.2,0.59,-0.02,0.47  (Jun 2018),0.47  (Jun 2018),10.70 k,0.00 ,Small Cap,63.41
44,Sundaram-Clayton Ltd. ,Auto ancillaries,2.72,7,0.45,-0.14,0.45  (May 2019),0.45  (May 2019),2.70 k,-0.50 k,Small Cap,63.41
45,- Hatsun Agro Product Ltd. - Rights ,Consumer food,2.31,1.8,0.11,0.00,0.01  (Jun 2018),0  (Jun 2018),3.09 k,0.00 ,Other,2.64
