,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Equitas Holdings Ltd. ,Investment companies,4.6,141.2,4.60,0.56,1.79  (Oct 2018),0  (Jun 2018),10.15 L,1.78 L,Small Cap,68.97
1,Cera Sanitaryware Ltd. ,Sanitary ware,3.93,120.6,3.93,0.48,1.69  (Jan 2019),0  (Jun 2018),40.10 k,6.79 k,Small Cap,68.97
2,Vinati Organics Ltd. ,Chemicals - speciality,3.83,117.4,3.83,0.95,2.82  (Mar 2019),0  (Jun 2018),54.45 k,11.23 k,Small Cap,68.97
3,V-Mart Retail Ltd. ,Retailing,5.86,105.5,3.44,-0.68,0.84  (Nov 2018),0  (Jun 2018),42.76 k,2.82 k,Small Cap,68.97
4,KEC International Ltd. ,"Engineering, designing, construction",5.58,92,3.00,-0.04,1.01  (Nov 2018),0  (Jun 2018),2.87 L,0.00 ,Small Cap,68.97
5,Mahanagar Gas Ltd. ,Lpg/cng/png/lng supplier,2.98,91.3,2.98,-0.20,2.96  (Oct 2018),0  (Jun 2018),1.02 L,13.35 k,Small Cap,68.97
6,Bata India Ltd. ,Leather and leather products,2.97,91.2,2.97,-0.59,1.92  (Oct 2018),0  (Jun 2018),68.82 k,2.71 k,Mid Cap,16.87
7,# DCB Bank Ltd. ,Banks,6.66,88.1,2.87,2.87,2.87  (May 2019),0  (Jun 2018),3.78 L,3.78 L,Small Cap,68.97
8,Mahindra Logistics Ltd. ,Logistics solution provider,4.98,84.5,2.75,-0.08,0.82  (Oct 2018),0  (Jun 2018),1.65 L,23.75 k,Small Cap,68.97
9,Mishra Dhatu Nigam Ltd. ,Steel,2.74,84.2,2.74,0.44,0.55  (Oct 2018),0  (Jun 2018),6.11 L,1.33 L,Small Cap,68.97
10,Grindwell Norton Ltd. ,Abrasives,2.67,82.1,2.67,-0.17,1.9  (Nov 2018),0  (Jun 2018),1.38 L,11.24 k,Small Cap,68.97
11,Music Broadcast Pvt Ltd. ,Media & entertainment,2.65,81.4,2.65,-0.13,1.98  (Nov 2018),0  (Jun 2018),13.81 L,1.11 L,Other,5.23
12,Central Depository Services (India) Ltd. ,Capital markets,2.62,80.4,2.62,-0.08,2.02  (Nov 2018),0  (Jun 2018),3.53 L,40.62 k,Small Cap,68.97
13,Rail Vikas Nigam Ltd. ,"Engineering, designing, construction",5.58,79.3,2.58,0.53,2.05  (Apr 2019),0  (Jun 2018),29.38 L,4.28 L,Other,5.23
14,Apex Frozen Foods Ltd. ,Consumer food,4.29,79.3,2.58,1.07,0.32  (Oct 2018),0  (Jun 2018),2.63 L,1.30 L,Small Cap,68.97
15,KNR Constructions ,Construction civil,4.76,76.4,2.49,0.16,0.86  (Oct 2018),0  (Jun 2018),2.73 L,9.80 k,Small Cap,68.97
16,Aditya Birla Fashion and Retail Ltd. ,Retailing,5.86,74.2,2.42,-0.13,1.57  (Jan 2019),0  (Jun 2018),3.52 L,32.26 k,Mid Cap,16.87
17,Orient Electric Ltd. ,Home appliances,3.77,71,2.31,0.19,0.7  (Mar 2019),0  (Jun 2018),4.27 L,51.14 k,Small Cap,68.97
18,United Breweries Ltd. ,Brew/distilleries,2.3,70.7,2.30,-0.46,1.98  (Feb 2019),0  (Jun 2018),52.54 k,0.00 ,Large Cap,4.57
19,Multi Commodity Exchange Of India Ltd. ,Other financial services,2.28,70,2.28,-0.90,1.98  (Nov 2018),0  (Jun 2018),86.33 k,-0.14 L,Small Cap,68.97
20,HCL Technologies Limited ,Computers - software,2.27,69.7,2.27,-0.52,1.3  (Jan 2019),0  (Jun 2018),63.77 k,0.00 ,Large Cap,4.57
21,PNC Infratech Ltd. ,Construction civil,4.76,69.6,2.27,0.12,0.88  (Oct 2018),0  (Jun 2018),3.56 L,-0.28 L,Small Cap,68.97
22,Ajanta Pharma Limited ,Pharmaceuticals,3.48,69.3,2.26,-0.17,1.75  (Jan 2019),0  (Jun 2018),66.28 k,0.00 ,Small Cap,68.97
23,TCI Express Ltd. ,Logistics solution provider,4.98,68.4,2.23,0.28,1.87  (Feb 2019),0  (Jun 2018),96.76 k,18.65 k,Small Cap,68.97
24,MOIL Ltd. ,Industrial minerals,2.21,67.8,2.21,0.03,2.14  (Mar 2019),0  (Jun 2018),4.26 L,42.79 k,Small Cap,68.97
25,Rallis India Ltd. ,Pesticides and agrochemicals,2.2,67.4,2.20,-0.09,0.84  (Oct 2018),0  (Jun 2018),4.45 L,26.38 k,Small Cap,68.97
26,V.I.P. Industries Ltd ,Plastic products - consumer,2.17,66.5,2.17,-0.31,1.28  (Oct 2018),0  (Jun 2018),1.51 L,8.48 k,Small Cap,68.97
27,Bharat Electronics Ltd. ,Industrial electronics,2.11,64.7,2.11,0.33,0.97  (Nov 2018),0  (Jun 2018),5.80 L,29.09 k,Mid Cap,16.87
28,Ratnamani Metals & Tubes Ltd. ,Steel products,2.11,64.6,2.11,0.05,1.45  (Dec 2018),0  (Jun 2018),68.34 k,5.82 k,Small Cap,68.97
29,City Union Bank Ltd. ,Banks,6.66,64.1,2.09,-0.14,1.49  (Nov 2018),0  (Jun 2018),3.03 L,5.79 k,Mid Cap,16.87
30,Jamna Auto Inds. Ltd. ,Auto ancillaries,1.93,59.3,1.93,-0.09,0.73  (Nov 2018),0  (Jun 2018),10.41 L,40.26 k,Small Cap,68.97
31,National Aluminium Co. Ltd. ,Aluminium,1.77,54.4,1.77,-0.29,0.89  (Jan 2019),0  (Jun 2018),10.76 L,0.00 ,Small Cap,68.97
32,Heritage Foods (india) Ltd. ,Consumer food,4.29,52.6,1.71,-0.68,1.17  (Oct 2018),0  (Jun 2018),1.27 L,3.27 k,Small Cap,68.97
33,RBL Bank Ltd. ,Banks,6.66,52.1,1.70,0.23,0.84  (Oct 2018),0  (Jun 2018),75.85 k,17.38 k,Mid Cap,16.87
34,Timken India Ltd. ,Bearings,3.12,49.7,1.62,-0.44,0.89  (Nov 2018),0  (Jun 2018),73.20 k,-0.28 L,Small Cap,68.97
35,Schaeffler India Ltd. ,Bearings,3.12,46.1,1.50,-0.29,1.5  (May 2019),0  (Jun 2018),8.95 k,0.00 ,Mid Cap,16.87
36,# Whirlpool Of India Ltd. ,Home appliances,3.77,44.7,1.46,1.46,1.46  (May 2019),0  (Jun 2018),30.46 k,30.46 k,Mid Cap,16.87
37,Gujarat State Petronet Ltd. ,Gas transmission/marketing,1.4,43.1,1.40,-0.25,0.13  (Nov 2018),0  (Jun 2018),2.23 L,0.00 ,Mid Cap,16.87
38,Wonderla Holidays Ltd. ,Other recreational activities,1.4,43,1.40,-0.24,1.23  (Mar 2019),0  (Jun 2018),1.40 L,0.00 ,Small Cap,68.97
39,Torrent Pharmaceuticals Ltd. ,Pharmaceuticals,3.48,37.4,1.22,-0.36,1.22  (May 2019),0  (Jun 2018),23.88 k,0.00 ,Mid Cap,16.87
