,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Simran Wind Project Private Ltd. ,Power,3.29,420,3.29,0.04,2.22  (Nov 2018),0  (Jun 2018),16.84 L,1.04 L,Small Cap,67.65
1,JMC Projects (India) Ltd. ,Construction civil,3.1,396,3.10,0.26,2.03  (Jun 2018),2.03  (Jun 2018),29.50 L,55.88 k,Small Cap,67.65
2,J.K. Cement Ltd. ,Cement,6.07,391,3.06,0.34,2.27  (Dec 2018),2.27  (Dec 2018),3.75 L,27.23 k,Small Cap,67.65
3,Sheela Foam Ltd. ,Houseware,2.98,380.5,2.98,-0.32,1.29  (Jun 2018),1.29  (Jun 2018),3.05 L,21.97 k,Small Cap,67.65
4,Solar Industries India Ltd. ,Explosives,2.75,350.9,2.75,-0.03,2.65  (Mar 2019),2.65  (Mar 2019),2.98 L,0.00 ,Small Cap,67.65
5,Galaxy Surfactants Ltd. ,Chemicals - speciality,4.84,342.5,2.68,0.15,2.09  (Nov 2018),2.09  (Nov 2018),2.89 L,8.16 k,Small Cap,67.65
6,Ratnamani Metals & Tubes Ltd. ,Steel products,5.08,329.4,2.58,-0.08,2.14  (Jul 2018),2.14  (Jul 2018),3.48 L,4.15 k,Small Cap,67.65
7,APL Apollo Tubes Ltd. ,Steel products,5.08,318.8,2.50,-0.21,2.08  (Dec 2018),2.08  (Dec 2018),1.97 L,0.00 ,Small Cap,67.65
8,Pi Industries Ltd. ,Pesticides and agrochemicals,2.42,308.9,2.42,0.16,1.48  (Oct 2018),0  (Jun 2018),2.72 L,22.75 k,Mid Cap,21.47
9,Dixon Technologies (India) Ltd. ,Consumer elctronics,2.4,306,2.40,-0.15,2.35  (Oct 2018),2.35  (Oct 2018),1.25 L,0.00 ,Small Cap,67.65
10,Au Small Finance Bank Ltd. ,Banks,7.12,305.9,2.40,-0.06,1.61  (Sep 2018),1.61  (Sep 2018),4.39 L,0.00 ,Mid Cap,21.47
11,Blue Star Ltd. ,Air conditioner,3.82,297.5,2.33,0.01,1.35  (Oct 2018),1.35  (Oct 2018),3.69 L,-0.26 L,Small Cap,67.65
12,Lux Industries Ltd. ,Fabrics and garments,3.95,286.1,2.24,-0.10,1.5  (Dec 2018),1.5  (Dec 2018),2.27 L,23.07 k,Small Cap,67.65
13,The Ramco Cements Ltd. ,Cement,6.07,285.5,2.24,-0.12,1.37  (Aug 2018),1.37  (Aug 2018),3.50 L,0.00 ,Mid Cap,21.47
14,Prataap Snacks Ltd. ,Consumer food,4.17,279.2,2.19,-0.17,2.16  (May 2019),2.16  (Mar 2019),3.10 L,18.44 k,Small Cap,67.65
15,Atul Ltd. ,Chemicals - speciality,4.84,275.1,2.16,0.13,1.99  (Mar 2019),1.99  (Mar 2019),67.99 k,0.00 ,Mid Cap,21.47
16,Mahindra Lifespace Developers Ltd. ,Residential/commercial/sez project,2.03,258.5,2.03,-0.01,1.4  (Jun 2018),1.4  (Jun 2018),6.15 L,0.00 ,Small Cap,67.65
17,Heritage Foods (india) Ltd. ,Consumer food,4.17,252.2,1.98,-0.44,1.35  (Dec 2018),1.35  (Dec 2018),6.12 L,75.69 k,Small Cap,67.65
18,WPIL Ltd. ,Compressors / pumps,1.94,248.2,1.94,0.21,1.65  (Mar 2019),0  (Jun 2018),2.58 L,14.24 k,Small Cap,67.65
19,Hawkins Cookers Ltd. ,Consumer products,1.84,235,1.84,0.05,1.25  (Dec 2018),1.25  (Dec 2018),77.12 k,7.36 k,Small Cap,67.65
20,ICICI Bank Ltd. ,Banks,7.12,233,1.83,-0.12,1.39  (Nov 2018),0  (Jun 2018),5.50 L,0.00 ,Large Cap,4.5
21,Security and Intelligence Services (India) Ltd. ,Diversified commercial services,1.77,225.4,1.77,0.01,0.43  (Nov 2018),0.43  (Nov 2018),2.47 L,537.00 ,Small Cap,67.65
22,Nilkamal Ltd. ,Plastic products,3.11,224.2,1.76,-0.29,1.28  (Jun 2018),1.28  (Jun 2018),1.84 L,6.22 k,Small Cap,67.65
23,Kajaria Ceramics Ltd. ,Sanitary ware,1.62,206.8,1.62,-0.05,1.6  (May 2019),0  (Jun 2018),3.25 L,2.51 k,Small Cap,67.65
24,RBL Bank Ltd. ,Banks,7.12,206,1.61,-0.15,1.6  (May 2019),1.6  (May 2019),3.00 L,0.00 ,Mid Cap,21.47
25,Schaeffler India Ltd. ,Bearings,1.69,194.7,1.53,-0.24,1.51  (May 2019),1.51  (May 2019),37.81 k,0.00 ,Mid Cap,21.47
26,Shoppers Stop Limited ,Retailing,1.52,194.3,1.52,-0.07,1.28  (Feb 2019),1.28  (Feb 2019),3.98 L,0.00 ,Small Cap,67.65
27,Amulya Leasing and Finance Ltd. ,Nbfc,4.4,192.9,1.51,-0.24,1.49  (May 2019),1.49  (May 2019),4.91 L,0.00 ,Small Cap,67.65
28,Amber Enterprises India Ltd. ,Air conditioner,3.82,189.8,1.49,-0.06,1.14  (Jun 2018),1.14  (Jun 2018),2.27 L,0.00 ,Small Cap,67.65
29,Century Plyboards India Ltd. ,Plywood boards,1.43,182.4,1.43,-0.07,0.5  (Oct 2018),0  (Jun 2018),10.68 L,73.45 k,Small Cap,67.65
30,Kewal Kiran Clothing Ltd. ,Fabrics and garments,3.95,180.2,1.41,-0.18,1.4  (May 2019),1.4  (May 2019),1.40 L,1.98 k,Small Cap,67.65
31,Hindustan Oil Exploration Co. Ltd. ,Oil exploration,1.38,176.7,1.38,0.02,1.07  (Dec 2018),1.07  (Dec 2018),13.68 L,1.01 L,Small Cap,67.65
32,Supreme Industries Ltd. ,Plastic products,3.11,172.8,1.35,0.25,1.09  (Apr 2019),1.09  (Apr 2019),1.60 L,49.06 k,Mid Cap,21.47
33,VST Tillers Tractors Ltd. ,Tractors,1.34,170.9,1.34,0.11,1.19  (Mar 2019),1.19  (Mar 2019),1.31 L,21.00 k,Small Cap,67.65
34,Vardhman Textiles Ltd. ,Spinning-cotton/blended,1.31,167.6,1.31,-0.23,1.19  (Nov 2018),1.19  (Oct 2018),1.54 L,-3.99 k,Small Cap,67.65
35,Indusind Bank Ltd. ,Banks,7.12,163.8,1.28,-0.14,1.27  (May 2019),1.27  (May 2019),1.02 L,0.00 ,Large Cap,4.5
