,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Bharat Earth Movers Ltd. ,Industrial equipment,4.08,1391.7,2.29,-0.04,1.02  (Nov 2018),0  (Jul 2018),15.26 L,47.78 k,Small Cap,66.09
1,Future Retail Ltd. ,Retailing,6.23,1388.9,2.28,0.20,1.84  (Sep 2018),1.84  (Sep 2018),28.64 L,0.00 ,Mid Cap,20.85
2,Grindwell Norton Ltd. ,Abrasives,3.28,1366.8,2.25,0.03,1.86  (Jul 2018),1.86  (Jul 2018),22.98 L,0.00 ,Small Cap,66.09
3,K.P.R. Mill Ltd. ,Fabrics and garments,4.64,1365.3,2.25,0.05,1.42  (Jul 2018),1.42  (Jul 2018),22.08 L,5.00 k,Small Cap,66.09
4,The Ramco Cements Ltd. ,Cement,2.38,1342.3,2.21,-0.31,2.07  (Jan 2019),2.07  (Jan 2019),17.12 L,-1.96 L,Mid Cap,20.85
5,Persistent Systems Ltd. ,Computers - software,3.22,1312.3,2.16,0.16,1.17  (Jul 2018),1.17  (Jul 2018),21.26 L,0.00 ,Small Cap,66.09
6,Sanofi India Ltd. ,Pharmaceuticals,4.66,1271.3,2.09,0.28,1.1  (Jul 2018),1.1  (Jul 2018),2.25 L,20.00 k,Mid Cap,20.85
7,DCB Bank Ltd. ,Banks,6.74,1269.2,2.09,0.30,0.82  (Nov 2018),0.82  (Nov 2018),53.53 L,6.22 L,Small Cap,66.09
8,Sobha Ltd. ,Residential/commercial/sez project,4.61,1241.6,2.04,0.25,0.68  (Dec 2018),0.68  (Dec 2018),22.90 L,2.55 L,Small Cap,66.09
9,Tube Investments Of India Ltd. ,Auto ancillaries,4.06,1240.7,2.04,0.07,1.31  (Jul 2018),1.31  (Jul 2018),32.31 L,1.12 L,Small Cap,66.09
10,Mahanagar Gas Ltd. ,Lpg/cng/png/lng supplier,2.64,1232.5,2.03,0.01,1.64  (Aug 2018),0  (Jul 2018),14.50 L,50.00 k,Small Cap,66.09
11,Abbott India Ltd. ,Pharmaceuticals,4.66,1109.5,1.83,0.31,1.18  (Jul 2018),1.18  (Jul 2018),1.25 L,4.44 k,Mid Cap,20.85
12,Welspun India Ltd. ,Fabrics and garments,4.64,1075.5,1.77,0.13,1.56  (Jul 2018),1.56  (Jul 2018),1.87 Cr,3.95 L,Small Cap,66.09
13,Future Lifestyle Fashions Ltd. ,Retailing,6.23,1071.2,1.76,0.10,1.13  (Oct 2018),1.13  (Oct 2018),22.79 L,49.71 k,Small Cap,66.09
14,Engineers India Ltd. ,"Engineering, designing, construction",2.53,1059.1,1.74,0.02,0.98  (Aug 2018),0.98  (Aug 2018),87.28 L,0.00 ,Small Cap,66.09
