,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Navin Flourine International Ltd. ,Chemicals - inorganic,4.79,33.9,2.74,0.45,2.29  (May 2019),0  (Jul 2018),48.00 k,12.00 k,Small Cap,49.53
1,NIIT Techonologies Ltd. ,Computers - software,6.71,33.6,2.72,-0.09,2.72  (Jun 2019),0  (Jul 2018),25.00 k,0.00 ,Small Cap,49.53
2,Chambal Fertilizers & Chemicals Ltd. ,Fertilisers-composite,2.69,33.3,2.69,-0.40,2.69  (Jun 2019),0  (Jul 2018),1.90 L,0.00 ,Small Cap,49.53
3,Neogen Chemicals Ltd. ,Chemicals - speciality,4.47,30.6,2.47,0.25,2.22  (May 2019),0  (Jul 2018),85.00 k,0.00 ,Other,2.47
4,SRF Ltd. ,Textiles,2.46,30.4,2.46,0.01,2.45  (May 2019),0  (Jul 2018),10.00 k,0.00 ,Mid Cap,6.45
5,# Simran Wind Project Private Ltd. ,Power,4.13,26.9,2.18,2.18,2.18  (Jun 2019),0  (Jul 2018),1.00 L,1.00 L,Small Cap,49.53
6,# State Bank Of India ,Banks,7.74,26.3,2.12,2.12,2.12  (Jun 2019),0  (Jul 2018),72.67 k,72.67 k,Large Cap,4.2
7,# DCB Bank Ltd. ,Banks,7.74,26.1,2.11,2.11,2.11  (Jun 2019),0  (Jul 2018),1.10 L,1.10 L,Small Cap,49.53
8,# ICICI Bank Ltd. ,Banks,7.74,25.8,2.08,2.08,2.08  (Jun 2019),0  (Jul 2018),58.96 k,58.96 k,Large Cap,4.2
9,Can Fin Homes Ltd. ,Housing finance,2.06,25.5,2.06,0.09,1.97  (May 2019),0  (Jul 2018),71.50 k,6.50 k,Small Cap,49.53
10,GHCL Ltd. ,Chemicals - inorganic,4.79,25.4,2.05,-0.10,2.05  (Jun 2019),0  (Jul 2018),1.06 L,10.00 k,Small Cap,49.53
11,Mastek Ltd. ,Computers - software,6.71,25.3,2.04,0.41,1.63  (May 2019),0  (Jul 2018),53.00 k,13.00 k,Small Cap,49.53
12,Indian Hotels Company Limited ,Hotels/resorts,2.04,25.2,2.04,-0.12,2.04  (Jun 2019),0  (Jul 2018),1.60 L,0.00 ,Mid Cap,6.45
13,Kalpataru Power Transmission Ltd. ,Transmission towers,2.04,25.2,2.04,0.17,1.87  (May 2019),0  (Jul 2018),48.00 k,5.00 k,Small Cap,49.53
14,# Galaxy Surfactants Ltd. ,Chemicals - speciality,4.47,24.8,2.00,2.00,2  (Jun 2019),0  (Jul 2018),20.00 k,20.00 k,Small Cap,49.53
15,- Finolex Cables Ltd. ,Cables - electricals,1.96,24.2,1.96,0.00,1.96  (May 2019),0  (Jul 2018),55.00 k,5.00 k,Small Cap,49.53
16,Tata Power Co. Ltd. ,Power,4.13,24.2,1.95,-0.12,1.95  (Jun 2019),0  (Jul 2018),3.50 L,0.00 ,Mid Cap,6.45
17,Sonata Software Ltd. ,Computers - software,6.71,24.1,1.95,0.20,1.75  (May 2019),0  (Jul 2018),69.00 k,12.00 k,Small Cap,49.53
18,# NIIT Ltd ,It education,1.92,23.7,1.92,1.92,1.92  (Jun 2019),0  (Jul 2018),2.30 L,2.30 L,Small Cap,49.53
19,# Cosmo Films Ltd. ,Packaging,1.9,23.6,1.90,1.90,1.9  (Jun 2019),0  (Jul 2018),1.05 L,1.05 L,Small Cap,49.53
20,PNC Infratech Ltd. ,Construction civil,1.87,23.1,1.87,0.61,1.26  (May 2019),0  (Jul 2018),1.15 L,40.00 k,Small Cap,49.53
21,Hindustan Construction Co. Ltd. ,"Engineering, designing, construction",4.6,22.2,1.79,-0.24,1.79  (Jun 2019),0  (Jul 2018),18.50 L,0.00 ,Small Cap,49.53
22,Kirloskar Ferrous Industries Ltd. ,Pig iron,1.67,20.7,1.67,0.49,1.18  (May 2019),0  (Jul 2018),2.55 L,99.80 k,Small Cap,49.53
23,# KEC International Ltd. ,"Engineering, designing, construction",4.6,20.1,1.63,1.63,1.63  (Jun 2019),0  (Jul 2018),62.50 k,62.50 k,Small Cap,49.53
24,IRCON International Limited ,Construction projects,1.61,20,1.61,-0.14,1.61  (Jun 2019),0  (Jul 2018),49.71 k,0.00 ,Small Cap,49.53
25,J.K. Cement Ltd. ,Cement,5.95,19.7,1.59,-0.17,1.59  (Jun 2019),0  (Jul 2018),19.63 k,0.00 ,Small Cap,49.53
26,Birla Corporation Ltd. ,Cement,5.95,19,1.53,-0.27,1.53  (Jun 2019),0  (Jul 2018),32.04 k,0.00 ,Small Cap,49.53
27,India Cements Ltd. ,Cement,5.95,18,1.45,-0.18,1.45  (Jun 2019),0  (Jul 2018),1.80 L,0.00 ,Small Cap,49.53
28,# Karur Vysya Bank Ltd ,Banks,7.74,17.7,1.43,1.43,1.43  (Jun 2019),0  (Jul 2018),2.50 L,2.50 L,Small Cap,49.53
29,J K Lakshmi Cement Ltd. ,Cement,5.95,17.1,1.38,-0.28,1.38  (Jun 2019),0  (Jul 2018),50.00 k,0.00 ,Small Cap,49.53
30,# Alkyl Amines Chemicals Ltd. ,Chemicals - organic,1.35,16.7,1.35,1.35,1.35  (Jun 2019),0  (Jul 2018),20.30 k,20.30 k,Small Cap,49.53
31,# NCC Ltd. ,"Engineering, designing, construction",4.6,14.6,1.18,1.18,1.18  (Jun 2019),0  (Jul 2018),1.50 L,1.50 L,Small Cap,49.53
32,# Siyaram Silk Mills Ltd. ,Fabrics and garments,0.69,8.6,0.69,0.69,0.69  (Jun 2019),0  (Jul 2018),28.12 k,28.12 k,Small Cap,49.53
