,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Gokaldas Exports Ltd. ,Fabrics and garments,9.16,2,9.16,4.48,1.47  (Dec 2018),0  (Jun 2018),18.49 k,6.34 k,Small Cap,64.06
1,Golden Laminates Ltd. ,Consumer products,9.02,2,9.02,0.15,8.62  (Oct 2018),0  (Jun 2018),2.68 k,0.00 ,Small Cap,64.06
2,Parag Milk Foods Ltd. ,Consumer food,8.93,1.9,8.93,-0.21,2.65  (Oct 2018),0  (Jun 2018),8.05 k,0.00 ,Small Cap,64.06
3,Excel Crop Care Ltd. ,Pesticides and agrochemicals,4.38,1,4.38,1.58,2.8  (Apr 2019),0  (Jun 2018),300.00 ,125.00 ,Small Cap,64.06
4,Aurobindo Pharma Ltd. ,Pharmaceuticals,6.41,0.9,4.35,-1.04,2.01  (Jul 2018),0  (Jun 2018),1.40 k,0.00 ,Large Cap,7.62
5,Radico Khaitan Ltd. ,Brew/distilleries,3.42,0.7,3.42,1.76,1.66  (Apr 2019),0  (Jun 2018),2.20 k,1.20 k,Small Cap,64.06
6,DLF Ltd. ,Residential/commercial/sez project,3.27,0.7,3.27,0.26,3.01  (Apr 2019),0  (Jun 2018),3.70 k,0.00 ,Large Cap,7.62
7,# Equitas Holdings Ltd. ,Investment companies,3.25,0.7,3.25,3.25,3.25  (May 2019),0  (Jun 2018),5.06 k,5.06 k,Small Cap,64.06
8,Welspun Enterprises Ltd. ,Construction civil,5.62,0.7,3.03,0.39,2.36  (Mar 2019),0  (Jun 2018),5.00 k,0.00 ,Small Cap,64.06
9,# KPIT Engineering Ltd. ,Auto ancillaries,3,0.7,3.00,3.00,3  (May 2019),0  (Jun 2018),6.69 k,6.69 k,Other,3
10,# KNR Constructions ,Construction civil,5.62,0.6,2.59,2.59,2.42  (Oct 2018),0  (Jun 2018),2.00 k,2.00 k,Small Cap,64.06
11,# Avanti Feeds Ltd. ,Animal feed,2.59,0.6,2.59,2.59,2.59  (May 2019),0  (Jun 2018),1.50 k,1.50 k,Small Cap,64.06
12,International Paper APPM Ltd. ,Paper and paper products,4.97,0.6,2.56,-0.15,2.56  (May 2019),0  (Jun 2018),1.30 k,0.00 ,Small Cap,64.06
13,Blue Dart Express Ltd. ,Logistics solution provider,2.51,0.5,2.51,-0.58,2.51  (May 2019),0  (Jun 2018),200.00 ,0.00 ,Small Cap,64.06
14,JK Paper Ltd. ,Paper and paper products,4.97,0.5,2.41,-0.13,2.41  (May 2019),0  (Jun 2018),3.90 k,0.00 ,Small Cap,64.06
15,EID-Parry (India) Ltd. ,Fertilisers-composite,2.16,0.5,2.16,-0.12,2.16  (May 2019),0  (Jun 2018),2.50 k,0.00 ,Small Cap,64.06
16,Sun Pharma Advanced Research Company Ltd. ,Pharmaceuticals,6.41,0.5,2.06,-0.31,2.06  (May 2019),0  (Jun 2018),3.00 k,0.00 ,Small Cap,64.06
17,# KEI Industries Ltd. ,Cables - electricals,1.55,0.3,1.55,1.55,1.55  (May 2019),0  (Jun 2018),639.00 ,639.00 ,Small Cap,64.06
18,# Triveni Engineering & Industries Ltd. ,Sugar,1.49,0.3,1.49,1.49,1.49  (May 2019),0  (Jun 2018),4.50 k,4.50 k,Small Cap,64.06
19,# Birla Corporation Ltd. ,Cement,2.95,0.3,1.49,1.49,1.49  (May 2019),0  (Jun 2018),493.00 ,493.00 ,Small Cap,64.06
20,# J.K. Cement Ltd. ,Cement,2.95,0.3,1.46,1.46,1.46  (May 2019),0  (Jun 2018),303.00 ,303.00 ,Small Cap,64.06
