,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Deepak Nitrite Ltd. ,Chemicals - speciality,6.82,2240.5,2.72,-0.08,2.05  (Dec 2018),2.05  (Dec 2018),77.23 L,2.23 L,Small Cap,72.85
1,Orient Electric Ltd. ,Home appliances,3.79,1644.2,2.00,-0.04,1.78  (Jul 2018),1.78  (Jul 2018),1.03 Cr,0.00 ,Small Cap,72.85
2,V.I.P. Industries Ltd ,Plastic products - consumer,1.92,1584.3,1.92,0.07,1.85  (May 2019),1.85  (May 2019),35.56 L,0.00 ,Small Cap,72.85
3,Navin Flourine International Ltd. ,Chemicals - inorganic,2.23,1562.8,1.90,-0.03,1.81  (Feb 2019),1.81  (Feb 2019),22.11 L,0.00 ,Small Cap,72.85
4,Kalpataru Power Transmission Ltd. ,Transmission towers,1.66,1362.7,1.66,0.11,1.19  (Aug 2018),1.19  (Aug 2018),25.96 L,0.00 ,Small Cap,72.85
5,Vindhya Telelinks Ltd. ,Telecom - cables,3.44,1345,1.63,-0.13,1.53  (Jul 2018),1.53  (Jul 2018),10.16 L,0.00 ,Small Cap,72.85
6,ICICI Bank Ltd. ,Banks,6.16,1310.4,1.59,0.42,1.17  (May 2019),0  (Jul 2018),29.98 L,6.60 L,Large Cap,7.46
7,Zydus Wellness Ltd. ,Consumer products,1.9,1294.2,1.57,-0.10,1.57  (Jun 2019),1.57  (Jun 2019),9.67 L,-1.00 L,Small Cap,72.85
8,Tube Investments Of India Ltd. ,Auto ancillaries,4.74,1258.2,1.53,0.02,1.13  (Jul 2018),1.13  (Jul 2018),32.76 L,0.00 ,Small Cap,72.85
9,Cipla Ltd. ,Pharmaceuticals,4.55,1189.9,1.45,0.03,1.42  (May 2019),0  (Jul 2018),21.50 L,0.00 ,Large Cap,7.46
10,Bajaj Electricals Ltd. ,Home appliances,3.79,1186.7,1.44,0.01,1.28  (Nov 2018),1.28  (Nov 2018),22.42 L,0.00 ,Small Cap,72.85
