,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Heidelberg Cement India Ltd. ,Cement,3.94,28,3.94,0.42,1.56  (Oct 2018),0  (Jun 2018),1.35 L,0.00 ,Small Cap,73.03
1,Navin Flourine International Ltd. ,Chemicals - inorganic,3.8,27,3.80,0.30,2.2  (Jan 2019),0  (Jun 2018),36.58 k,0.00 ,Small Cap,73.03
2,CreditAccess Grameen Ltd. ,Nbfc,5.36,26.4,3.71,-0.04,2.82  (Jan 2019),0  (Jun 2018),50.45 k,0.00 ,Small Cap,73.03
3,Grindwell Norton Ltd. ,Abrasives,4.87,23.3,3.28,-0.11,0.07  (Oct 2018),0  (Jun 2018),39.09 k,0.00 ,Small Cap,73.03
4,Ksb Pumps Ltd. ,Compressors / pumps,5.35,22.8,3.20,0.02,2.05  (Nov 2018),0  (Jun 2018),33.43 k,0.00 ,Small Cap,73.03
5,Esab India Ltd. ,Electrodes,3.01,21.4,3.01,0.71,1.84  (Jan 2019),0  (Jun 2018),18.10 k,0.00 ,Small Cap,73.03
6,Subros Ltd. ,Auto ancillaries,4.97,20.9,2.94,-0.15,2.06  (Jan 2019),0  (Jun 2018),77.40 k,0.00 ,Small Cap,73.03
7,Kennametal India Ltd. ,Industrial equipment,4.37,20.6,2.89,-0.22,2.46  (Nov 2018),0  (Jun 2018),18.17 k,0.00 ,Small Cap,73.03
8,Orient Electric Ltd. ,Home appliances,8.06,20,2.81,0.19,2.55  (Mar 2019),0  (Jun 2018),1.20 L,0.00 ,Small Cap,73.03
9,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,8.06,19.6,2.76,-0.04,1.49  (Jan 2019),0  (Jun 2018),82.60 k,0.00 ,Mid Cap,16.69
10,Hikal Ltd. ,Pharmaceuticals,6.93,17.9,2.51,-0.14,2.51  (May 2019),0  (Jun 2018),1.05 L,0.00 ,Small Cap,73.03
11,I T D Cementation India Ltd. ,Construction civil,2.5,17.8,2.50,-0.21,1.84  (Dec 2018),0  (Jun 2018),1.54 L,0.00 ,Small Cap,73.03
