,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,KEI Industries Ltd. ,Cables - electricals,4.99,32.7,4.99,-0.20,3.48  (Oct 2018),3.48  (Oct 2018),68.18 k,0.00 ,Small Cap,97.1
1,Blue Star Ltd. ,Air conditioner,6.06,30.9,4.71,0.05,3.66  (Sep 2018),3.66  (Sep 2018),39.79 k,0.00 ,Small Cap,97.1
2,Kalpataru Power Transmission Ltd. ,Transmission towers,4.45,29.2,4.45,0.38,3.35  (Jan 2019),3.35  (Jan 2019),55.56 k,0.00 ,Small Cap,97.1
3,Grindwell Norton Ltd. ,Abrasives,3.9,25.6,3.90,0.19,3.3  (Jul 2018),3.3  (Jul 2018),43.00 k,0.00 ,Small Cap,97.1
4,Navin Flourine International Ltd. ,Chemicals - inorganic,3.78,24.8,3.78,0.03,3.32  (Jul 2018),3.32  (Jul 2018),35.02 k,0.00 ,Small Cap,97.1
5,Heidelberg Cement India Ltd. ,Cement,8.69,24.2,3.70,-0.03,2.81  (Jul 2018),2.81  (Jul 2018),1.24 L,0.00 ,Small Cap,97.1
6,V-Guard Industries Ltd. ,Industrial electronics,3.41,22.4,3.41,0.18,3.23  (May 2019),3.23  (May 2019),91.79 k,0.00 ,Small Cap,97.1
7,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",8.39,21,3.20,0.11,2.57  (Sep 2018),2.57  (Sep 2018),1.49 L,0.00 ,Small Cap,97.1
8,Praj Industries Ltd. ,"Engineering, designing, construction",8.39,19.8,3.02,-0.48,2.16  (Jul 2018),2.16  (Jul 2018),1.41 L,-0.26 L,Small Cap,97.1
9,J.K. Cement Ltd. ,Cement,8.69,17.9,2.73,0.03,1.94  (Jul 2018),1.94  (Jul 2018),17.87 k,0.00 ,Small Cap,97.1
10,Astra Microwave Products Ltd. ,Telecom -  equipment,2.62,17.2,2.62,0.02,2.46  (Dec 2018),2.46  (Dec 2018),2.04 L,0.00 ,Small Cap,97.1
11,PNC Infratech Ltd. ,Construction civil,4.84,17.1,2.61,0.20,1.81  (Feb 2019),1.81  (Feb 2019),84.96 k,0.00 ,Small Cap,97.1
12,PVR Ltd. ,"Flim production, distribution & exhibition",4.1,16.5,2.52,-0.03,1.67  (Jul 2018),1.67  (Jul 2018),9.85 k,0.00 ,Small Cap,97.1
13,Healthcare Global Enterprises Ltd. ,Hospital,2.42,15.8,2.42,-0.35,2.42  (Jun 2019),2.42  (Jun 2019),1.01 L,0.00 ,Small Cap,97.1
14,M M Forgings Ltd. ,Castings/forgings,2.37,15.5,2.37,-0.01,2.37  (Jun 2019),2.37  (Jun 2019),31.57 k,0.00 ,Small Cap,97.1
15,India Cements Ltd. ,Cement,8.69,14.8,2.26,-0.01,2.05  (Jan 2019),2.05  (Jan 2019),1.48 L,0.00 ,Small Cap,97.1
16,Ujjivan Small Finance Bank Ltd. ,Banks,4.21,14.6,2.23,-0.36,1.71  (Nov 2018),1.71  (Nov 2018),49.25 k,0.00 ,Small Cap,97.1
17,Subros Ltd. ,Auto ancillaries,2.16,14.1,2.16,-0.19,2.16  (Jun 2019),2.16  (Jun 2019),59.92 k,0.00 ,Small Cap,97.1
18,- Ador Welding Ltd. ,Electrodes,2,13.1,2.00,0.01,1.66  (Jul 2018),1.66  (Jul 2018),37.71 k,0.00 ,Small Cap,97.1
19,DCB Bank Ltd. ,Banks,4.21,13,1.98,0.13,1.27  (Jul 2018),1.27  (Jul 2018),54.70 k,0.00 ,Small Cap,97.1
20,Kennametal India Ltd. ,Industrial equipment,1.95,12.8,1.95,0.08,1.31  (Jul 2018),1.31  (Jul 2018),11.40 k,0.00 ,Small Cap,97.1
21,Century Plyboards India Ltd. ,Plywood boards,1.91,12.5,1.91,0.06,1.85  (May 2019),1.85  (May 2019),74.80 k,0.00 ,Small Cap,97.1
22,I T D Cementation India Ltd. ,Construction civil,4.84,12.4,1.88,-0.07,1.43  (Nov 2018),1.43  (Nov 2018),1.17 L,0.00 ,Small Cap,97.1
23,Nrb Bearings Ltd. ,Bearings,3.5,12,1.83,0.04,1.77  (Aug 2018),1.77  (Aug 2018),73.05 k,0.00 ,Small Cap,97.1
24,Timken India Ltd. ,Bearings,3.5,10.9,1.67,0.20,1.18  (Nov 2018),1.18  (Nov 2018),14.88 k,0.00 ,Small Cap,97.1
25,Rane Holdings Ltd. ,Investment companies,1.61,10.6,1.61,-0.16,1.61  (Jun 2019),1.61  (Jun 2019),10.00 k,0.00 ,Small Cap,97.1
26,Himatsingka Seide Ltd. ,Fabrics and garments,2.28,10.4,1.59,-0.25,1.59  (Jun 2019),1.59  (Jun 2019),64.49 k,0.00 ,Small Cap,97.1
27,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",4.1,10.4,1.58,-0.15,0.87  (Jul 2018),0.87  (Jul 2018),31.62 k,0.00 ,Small Cap,97.1
28,Heritage Foods (india) Ltd. ,Consumer food,1.57,10.3,1.57,0.24,1.33  (May 2019),1.33  (May 2019),25.34 k,3.03 k,Small Cap,97.1
29,NCC Ltd. ,"Engineering, designing, construction",8.39,10,1.52,0.07,1.45  (May 2019),1.45  (May 2019),1.02 L,0.00 ,Small Cap,97.1
30,Thyrocare Technologies Ltd. ,Healthcare service providers ,1.49,9.7,1.49,0.07,1.42  (May 2019),1.42  (May 2019),20.63 k,0.00 ,Small Cap,97.1
31,Ksb Pumps Ltd. ,Compressors / pumps,2.69,8.9,1.35,0.13,1.14  (Aug 2018),1.14  (Aug 2018),12.34 k,0.00 ,Small Cap,97.1
32,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,6.06,8.8,1.35,0.01,1.33  (May 2019),1.33  (May 2019),4.99 k,0.00 ,Small Cap,97.1
