,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,KEI Industries Ltd. ,Cables - electricals,4.98,55.3,4.98,-0.21,3.47  (Oct 2018),3.47  (Oct 2018),1.15 L,0.00 ,Small Cap,96.3
1,Blue Star Ltd. ,Air conditioner,6.29,54.9,4.95,0.05,3.85  (Sep 2018),3.85  (Sep 2018),70.82 k,0.00 ,Small Cap,96.3
2,Kalpataru Power Transmission Ltd. ,Transmission towers,4.61,51.2,4.61,0.39,3.47  (Jan 2019),3.47  (Jan 2019),97.53 k,0.00 ,Small Cap,96.3
3,Grindwell Norton Ltd. ,Abrasives,3.89,43.2,3.89,0.18,3.3  (Jul 2018),3.3  (Jul 2018),72.62 k,0.00 ,Small Cap,96.3
4,Navin Flourine International Ltd. ,Chemicals - inorganic,3.85,42.8,3.85,0.02,3.4  (Jul 2018),3.4  (Jul 2018),60.50 k,0.00 ,Small Cap,96.3
5,V-Guard Industries Ltd. ,Industrial electronics,3.43,38.1,3.43,0.18,3.25  (May 2019),3.25  (May 2019),1.56 L,0.00 ,Small Cap,96.3
6,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",8.38,35.5,3.19,0.11,2.56  (Sep 2018),2.56  (Sep 2018),2.52 L,0.00 ,Small Cap,96.3
7,Praj Industries Ltd. ,"Engineering, designing, construction",8.38,33.6,3.03,-0.48,2.16  (Jul 2018),2.16  (Jul 2018),2.39 L,-0.43 L,Small Cap,96.3
8,Heidelberg Cement India Ltd. ,Cement,7.94,33,2.97,-0.03,1.34  (Jul 2018),1.34  (Jul 2018),1.69 L,0.00 ,Small Cap,96.3
9,J.K. Cement Ltd. ,Cement,7.94,30.2,2.72,0.02,1.94  (Jul 2018),1.94  (Jul 2018),30.16 k,0.00 ,Small Cap,96.3
10,PNC Infratech Ltd. ,Construction civil,4.83,29,2.61,0.19,1.82  (Feb 2019),1.82  (Feb 2019),1.44 L,0.00 ,Small Cap,96.3
11,Astra Microwave Products Ltd. ,Telecom -  equipment,2.61,29,2.61,0.02,2.45  (Dec 2018),2.45  (Dec 2018),3.44 L,0.00 ,Small Cap,96.3
12,PVR Ltd. ,"Flim production, distribution & exhibition",4.1,28,2.53,-0.03,1.67  (Jul 2018),1.67  (Jul 2018),16.74 k,0.00 ,Small Cap,96.3
13,Healthcare Global Enterprises Ltd. ,Hospital,2.4,26.7,2.40,-0.35,2.4  (Jun 2019),2.4  (Jun 2019),1.70 L,0.00 ,Small Cap,96.3
14,M M Forgings Ltd. ,Castings/forgings,2.37,26.3,2.37,-0.02,2.37  (Jun 2019),2.37  (Jun 2019),53.40 k,0.00 ,Small Cap,96.3
15,India Cements Ltd. ,Cement,7.94,25,2.25,-0.02,2.04  (Jan 2019),2.04  (Jan 2019),2.51 L,0.00 ,Small Cap,96.3
16,Ujjivan Small Finance Bank Ltd. ,Banks,4.01,24.7,2.22,-0.36,1.7  (Nov 2018),1.7  (Nov 2018),83.12 k,0.00 ,Small Cap,96.3
17,Ador Welding Ltd. ,Electrodes,2,22.2,2.00,0.00,1.66  (Jul 2018),1.66  (Jul 2018),63.75 k,0.00 ,Small Cap,96.3
18,Kennametal India Ltd. ,Industrial equipment,1.94,21.5,1.94,0.08,1.31  (Jul 2018),1.31  (Jul 2018),19.18 k,0.00 ,Small Cap,96.3
19,Nrb Bearings Ltd. ,Bearings,3.59,21.4,1.92,0.04,1.87  (Aug 2018),1.87  (Aug 2018),1.30 L,0.00 ,Small Cap,96.3
20,I T D Cementation India Ltd. ,Construction civil,4.83,20.8,1.87,-0.07,1.41  (Nov 2018),1.41  (Nov 2018),1.96 L,0.00 ,Small Cap,96.3
21,DCB Bank Ltd. ,Banks,4.01,19.9,1.79,0.11,0.81  (Jul 2018),0.81  (Jul 2018),83.72 k,0.00 ,Small Cap,96.3
22,Subros Ltd. ,Auto ancillaries,1.7,18.9,1.70,-0.15,1.7  (Jun 2019),1.7  (Jun 2019),80.00 k,0.00 ,Small Cap,96.3
23,Timken India Ltd. ,Bearings,3.59,18.6,1.67,0.20,1.17  (Nov 2018),1.17  (Nov 2018),25.29 k,0.00 ,Small Cap,96.3
24,Rane Holdings Ltd. ,Investment companies,1.62,17.9,1.62,-0.16,1.62  (Jun 2019),1.62  (Jun 2019),17.00 k,0.00 ,Small Cap,96.3
25,Himatsingka Seide Ltd. ,Fabrics and garments,2.28,17.6,1.59,-0.26,1.59  (Jun 2019),1.59  (Jun 2019),1.09 L,0.00 ,Small Cap,96.3
26,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",4.1,17.5,1.57,-0.15,0.87  (Jul 2018),0.87  (Jul 2018),53.41 k,0.00 ,Small Cap,96.3
27,Heritage Foods (india) Ltd. ,Consumer food,1.57,17.4,1.57,0.24,1.32  (May 2019),1.32  (May 2019),42.81 k,5.41 k,Small Cap,96.3
