,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,KEI Industries Ltd. ,Cables - electricals,5.21,23.2,5.21,0.99,3.46  (Oct 2018),3.46  (Oct 2018),44.08 k,0.00 ,Small Cap,96
1,Blue Star Ltd. ,Air conditioner,6.25,21.9,4.92,0.61,3.82  (Jun 2018),3.82  (Jun 2018),27.11 k,0.00 ,Small Cap,96
2,Kalpataru Power Transmission Ltd. ,Transmission towers,4.3,19.1,4.30,0.16,2.91  (Aug 2018),2.91  (Aug 2018),37.86 k,0.00 ,Small Cap,96
3,Navin Flourine International Ltd. ,Chemicals - inorganic,3.81,16.9,3.81,0.20,3.17  (Jun 2018),3.17  (Jun 2018),22.92 k,0.00 ,Small Cap,96
4,Heidelberg Cement India Ltd. ,Cement,6.03,16.6,3.74,0.30,2.44  (Jun 2018),2.44  (Jun 2018),80.31 k,0.00 ,Small Cap,96
5,Grindwell Norton Ltd. ,Abrasives,3.71,16.5,3.71,-0.55,3.28  (Jul 2018),3.28  (Jul 2018),27.72 k,-2.22 k,Small Cap,96
6,Praj Industries Ltd. ,"Engineering, designing, construction",8.75,15.7,3.53,0.06,2.14  (Jul 2018),2.14  (Jul 2018),1.08 L,0.00 ,Small Cap,96
7,V-Guard Industries Ltd. ,Industrial electronics,3.29,14.7,3.29,-1.21,3.29  (May 2019),3.29  (May 2019),60.39 k,-0.28 L,Small Cap,96
8,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",8.75,13.8,3.11,0.29,2.58  (Sep 2018),2.58  (Sep 2018),96.81 k,0.00 ,Small Cap,96
9,Healthcare Global Enterprises Ltd. ,Hospital,2.76,12.3,2.76,-0.25,2.76  (May 2019),2.76  (May 2019),65.00 k,0.00 ,Small Cap,96
10,Astra Microwave Products Ltd. ,Telecom -  equipment,2.62,11.6,2.62,-0.10,2.45  (Dec 2018),2.45  (Dec 2018),1.32 L,0.00 ,Small Cap,96
11,Ujjivan Small Finance Bank Ltd. ,Banks,4.81,11.6,2.60,0.17,1.7  (Nov 2018),1.7  (Nov 2018),31.94 k,0.00 ,Small Cap,96
12,PVR Ltd. ,"Flim production, distribution & exhibition",4.26,11.4,2.57,-0.09,1.65  (Jul 2018),1.65  (Jul 2018),6.40 k,0.00 ,Small Cap,96
13,PNC Infratech Ltd. ,Construction civil,4.77,10.8,2.43,0.47,1.77  (Jun 2018),1.77  (Jun 2018),55.30 k,0.00 ,Small Cap,96
14,M M Forgings Ltd. ,Castings/forgings,2.4,10.7,2.40,-0.25,2.4  (May 2019),2.4  (May 2019),20.53 k,0.00 ,Small Cap,96
15,Subros Ltd. ,Auto ancillaries,2.36,10.5,2.36,-0.20,2.34  (Mar 2019),2.34  (Mar 2019),38.81 k,0.00 ,Small Cap,96
16,India Cements Ltd. ,Cement,6.03,10.2,2.29,-0.14,2.05  (Jan 2019),2.05  (Jan 2019),96.30 k,0.00 ,Small Cap,96
17,DCB Bank Ltd. ,Banks,4.81,9.8,2.21,0.11,1.5  (Jul 2018),1.5  (Jul 2018),42.18 k,0.00 ,Small Cap,96
18,Ador Welding Ltd. ,Electrodes,2.01,8.9,2.01,0.14,1.63  (Jun 2018),1.63  (Jun 2018),24.45 k,0.00 ,Small Cap,96
19,I T D Cementation India Ltd. ,Construction civil,4.77,8.7,1.95,-0.23,1.47  (Nov 2018),1.47  (Nov 2018),75.26 k,0.00 ,Small Cap,96
20,Kennametal India Ltd. ,Industrial equipment,1.87,8.3,1.87,-0.21,1.3  (Jun 2018),1.3  (Jun 2018),7.35 k,0.00 ,Small Cap,96
21,Century Plyboards India Ltd. ,Plywood boards,1.86,8.3,1.86,-0.11,1.86  (May 2019),1.86  (May 2019),48.53 k,0.00 ,Small Cap,96
22,Himatsingka Seide Ltd. ,Fabrics and garments,2.49,8.2,1.85,-0.24,1.77  (Feb 2019),1.77  (Feb 2019),41.71 k,0.00 ,Small Cap,96
23,Rane Holdings Ltd. ,Investment companies,1.78,7.9,1.78,-0.06,1.67  (Jan 2019),1.67  (Jan 2019),6.50 k,0.00 ,Small Cap,96
