,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Grindwell Norton Ltd. ,Abrasives,4,27.4,4.00,0.17,2.97  (Jul 2018),2.97  (Jul 2018),46.13 k,0.00 ,Small Cap,92.06
1,Kalpataru Power Transmission Ltd. ,Transmission towers,3.93,27,3.93,0.32,2.34  (Aug 2018),2.34  (Aug 2018),51.43 k,0.00 ,Small Cap,92.06
2,Navin Flourine International Ltd. ,Chemicals - inorganic,3.92,26.9,3.92,0.01,3.25  (Jul 2018),3.25  (Jul 2018),38.00 k,0.00 ,Small Cap,92.06
3,Heidelberg Cement India Ltd. ,Cement,8.3,24.1,3.51,-0.05,2.53  (Jul 2018),2.53  (Jul 2018),1.24 L,0.00 ,Small Cap,92.06
4,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",9.9,22.9,3.34,0.10,2.61  (Sep 2018),2.61  (Sep 2018),1.63 L,0.00 ,Small Cap,92.06
5,Praj Industries Ltd. ,"Engineering, designing, construction",9.9,20.8,3.03,-0.94,2.82  (Jul 2018),2.82  (Jul 2018),1.48 L,-0.49 L,Small Cap,92.06
6,J.K. Cement Ltd. ,Cement,8.3,19,2.77,0.02,1.95  (Dec 2018),0  (Jul 2018),18.94 k,0.00 ,Small Cap,92.06
7,KEI Industries Ltd. ,Cables - electricals,2.58,17.7,2.58,-0.12,1.08  (Oct 2018),1.08  (Oct 2018),36.86 k,0.00 ,Small Cap,92.06
8,M M Forgings Ltd. ,Castings/forgings,2.5,17.1,2.50,-0.03,2.5  (Jun 2019),2.5  (Jun 2019),34.81 k,0.00 ,Small Cap,92.06
9,- Astra Microwave Products Ltd. ,Telecom -  equipment,2.35,16.2,2.35,0.01,2.16  (Dec 2018),2.16  (Dec 2018),1.92 L,0.00 ,Small Cap,92.06
10,Healthcare Global Enterprises Ltd. ,Hospital,2.29,15.7,2.29,-0.35,2.29  (Jun 2019),2.29  (Jun 2019),1.00 L,0.00 ,Small Cap,92.06
11,Ujjivan Small Finance Bank Ltd. ,Banks,3.92,14.5,2.11,-0.35,1.55  (Oct 2018),1.55  (Oct 2018),48.74 k,0.00 ,Small Cap,92.06
12,India Cements Ltd. ,Cement,8.3,13.9,2.02,-0.02,1.78  (Jan 2019),1.78  (Jan 2019),1.39 L,0.00 ,Small Cap,92.06
13,Tube Investments Of India Ltd. ,Auto ancillaries,5.93,13.7,2.00,0.06,1.86  (Mar 2019),0  (Jul 2018),35.77 k,0.00 ,Small Cap,92.06
14,Thyrocare Technologies Ltd. ,Healthcare service providers ,1.96,13.4,1.96,0.08,1.72  (Apr 2019),1.72  (Apr 2019),28.45 k,0.00 ,Small Cap,92.06
15,Star Cement Ltd. ,Cement products,1.88,12.9,1.88,0.11,1.42  (Mar 2019),1.42  (Mar 2019),1.06 L,0.00 ,Small Cap,92.06
16,Mahindra Holidays & Resorts India Ltd. ,Hotels/resorts,2.9,12.9,1.87,0.12,1.64  (Nov 2018),1.64  (Nov 2018),55.30 k,0.00 ,Small Cap,92.06
17,VA Tech Wabag Ltd. ,"Engineering, designing, construction",9.9,12.6,1.84,0.03,1.53  (Dec 2018),1.53  (Dec 2018),40.89 k,0.00 ,Small Cap,92.06
18,Nrb Bearings Ltd. ,Bearings,3.56,12.6,1.83,0.03,1.68  (Jul 2018),1.68  (Jul 2018),76.55 k,0.00 ,Small Cap,92.06
19,Brigade Enterprises Ltd. ,Residential/commercial/sez project,2.87,12.4,1.81,0.13,1.16  (Oct 2018),1.16  (Oct 2018),48.19 k,0.00 ,Small Cap,92.06
20,DCB Bank Ltd. ,Banks,3.92,12.4,1.81,0.11,1.1  (Jul 2018),1.1  (Jul 2018),52.41 k,0.00 ,Small Cap,92.06
21,Subros Ltd. ,Auto ancillaries,5.93,12.3,1.79,-0.17,1.79  (Jun 2019),1.79  (Jun 2019),52.00 k,0.00 ,Small Cap,92.06
22,Asian Granito India Ltd. ,Sanitary ware,1.76,12.1,1.76,0.07,1.15  (Jan 2019),1.15  (Jan 2019),48.00 k,0.00 ,Small Cap,92.06
23,Timken India Ltd. ,Bearings,3.56,11.9,1.73,0.20,1.17  (Nov 2018),1.17  (Nov 2018),16.16 k,0.00 ,Small Cap,92.06
24,NCC Ltd. ,"Engineering, designing, construction",9.9,11.6,1.69,0.07,1.62  (May 2019),1.62  (May 2019),1.19 L,0.00 ,Small Cap,92.06
25,Navneet Publications (india) Ltd. ,Printing and publishing,1.93,11.5,1.68,0.03,1.5  (Jul 2018),1.5  (Jul 2018),1.09 L,0.00 ,Small Cap,92.06
