,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Navin Flourine International Ltd. ,Chemicals - inorganic,3.96,45.6,3.96,0.02,3.2  (Jul 2018),3.2  (Jul 2018),64.46 k,0.00 ,Small Cap,91.66
1,Grindwell Norton Ltd. ,Abrasives,3.93,45.2,3.93,0.18,2.84  (Jul 2018),2.84  (Jul 2018),75.96 k,0.00 ,Small Cap,91.66
2,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",10.1,39.3,3.41,0.11,2.63  (Sep 2018),2.63  (Sep 2018),2.79 L,0.00 ,Small Cap,91.66
3,Kalpataru Power Transmission Ltd. ,Transmission towers,3.34,38.4,3.34,0.28,1.93  (Aug 2018),1.93  (Aug 2018),73.12 k,0.00 ,Small Cap,91.66
4,Praj Industries Ltd. ,"Engineering, designing, construction",10.1,35.2,3.06,-0.80,2.04  (Jul 2018),2.04  (Jul 2018),2.50 L,-0.71 L,Small Cap,91.66
5,J.K. Cement Ltd. ,Cement,7.4,32.6,2.83,0.02,1.96  (Dec 2018),0  (Jul 2018),32.51 k,0.00 ,Small Cap,91.66
6,Heidelberg Cement India Ltd. ,Cement,7.4,31.8,2.76,-0.03,2.01  (Oct 2018),0  (Jul 2018),1.63 L,0.00 ,Small Cap,91.66
7,M M Forgings Ltd. ,Castings/forgings,2.62,30.1,2.62,-0.02,2.62  (Jun 2019),2.62  (Jun 2019),61.18 k,0.00 ,Small Cap,91.66
8,KEI Industries Ltd. ,Cables - electricals,2.6,29.9,2.60,-0.11,1.08  (Oct 2018),1.08  (Oct 2018),62.32 k,0.00 ,Small Cap,91.66
9,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,2.31,26.6,2.31,0.02,2.21  (Aug 2018),2.21  (Aug 2018),15.03 k,0.00 ,Small Cap,91.66
10,Ujjivan Small Finance Bank Ltd. ,Banks,3.12,25.2,2.19,-0.36,1.58  (Oct 2018),1.58  (Oct 2018),84.90 k,0.00 ,Small Cap,91.66
11,Astra Microwave Products Ltd. ,Telecom -  equipment,2.04,23.4,2.04,0.01,1.83  (Dec 2018),1.83  (Dec 2018),2.78 L,0.00 ,Small Cap,91.66
12,Tube Investments Of India Ltd. ,Auto ancillaries,7.17,23.2,2.02,0.07,1.87  (Mar 2019),0  (Jul 2018),60.44 k,0.00 ,Small Cap,91.66
13,Ramco Industries Ltd. ,Cement products,3.89,22.8,1.99,0.01,1.92  (Oct 2018),1.92  (Oct 2018),1.16 L,0.00 ,Small Cap,91.66
14,Rajapalayam Mills Ltd. ,Spinning-cotton/blended,1.97,22.7,1.97,-0.03,1.77  (Dec 2018),1.77  (Dec 2018),28.01 k,0.00 ,Small Cap,91.66
15,Thyrocare Technologies Ltd. ,Healthcare service providers ,1.95,22.5,1.95,0.08,1.73  (Jul 2018),1.73  (Jul 2018),47.58 k,0.00 ,Small Cap,91.66
16,Nrb Bearings Ltd. ,Bearings,3.65,22.2,1.93,0.04,1.72  (Jul 2018),1.72  (Jul 2018),1.35 L,0.00 ,Small Cap,91.66
17,Star Cement Ltd. ,Cement products,3.89,21.9,1.90,0.11,1.39  (Aug 2018),1.39  (Aug 2018),1.79 L,0.00 ,Small Cap,91.66
18,VA Tech Wabag Ltd. ,"Engineering, designing, construction",10.1,21.8,1.89,0.03,1.54  (Dec 2018),1.54  (Dec 2018),70.35 k,0.00 ,Small Cap,91.66
19,Subros Ltd. ,Auto ancillaries,7.17,21.2,1.84,-0.17,1.84  (Jun 2019),1.84  (Jun 2019),89.89 k,0.00 ,Small Cap,91.66
20,Brigade Enterprises Ltd. ,Residential/commercial/sez project,2.91,21.2,1.84,0.13,1.15  (Oct 2018),1.15  (Oct 2018),81.98 k,0.00 ,Small Cap,91.66
21,Asian Granito India Ltd. ,Sanitary ware,1.84,21.1,1.84,0.07,1.18  (Jan 2019),1.18  (Jan 2019),84.22 k,0.00 ,Small Cap,91.66
22,India Cements Ltd. ,Cement,7.4,20.9,1.81,-0.02,1.58  (Jan 2019),1.58  (Jan 2019),2.09 L,0.00 ,Small Cap,91.66
23,ISGEC Heavy Engineering Ltd. ,Industrial equipment,3.09,20.7,1.80,-0.07,1.8  (Jun 2019),1.8  (Jun 2019),45.52 k,0.00 ,Other,4.1
24,NCC Ltd. ,"Engineering, designing, construction",10.1,20,1.74,0.08,1.66  (May 2019),1.66  (May 2019),2.05 L,0.00 ,Small Cap,91.66
25,Timken India Ltd. ,Bearings,3.65,19.8,1.72,0.20,1.15  (Nov 2018),1.15  (Nov 2018),26.99 k,0.00 ,Small Cap,91.66
26,Navneet Publications (india) Ltd. ,Printing and publishing,1.96,19.7,1.71,0.03,1.36  (Jul 2018),1.36  (Jul 2018),1.86 L,0.00 ,Small Cap,91.66
27,Mahindra Holidays & Resorts India Ltd. ,Hotels/resorts,2.77,19.6,1.71,0.12,1.47  (Nov 2018),1.47  (Nov 2018),84.53 k,0.00 ,Small Cap,91.66
28,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.66,19.1,1.66,-0.16,0.84  (Jul 2018),0.84  (Jul 2018),58.44 k,0.00 ,Small Cap,91.66
29,Heritage Foods (india) Ltd. ,Consumer food,1.75,17.9,1.56,0.26,1.3  (May 2019),1.3  (May 2019),44.11 k,6.19 k,Small Cap,91.66
30,Rane Holdings Ltd. ,Investment companies,1.48,17,1.48,-0.15,1.46  (Jan 2019),1.46  (Jan 2019),16.10 k,0.00 ,Small Cap,91.66
31,Himatsingka Seide Ltd. ,Fabrics and garments,3.44,16.7,1.45,-0.24,1.45  (Jun 2019),1.45  (Jun 2019),1.03 L,0.00 ,Small Cap,91.66
