,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Grindwell Norton Ltd. ,Abrasives,4.01,45.3,4.01,0.18,2.84  (Jul 2018),2.84  (Jul 2018),76.17 k,0.00 ,Small Cap,91.51
1,Navin Flourine International Ltd. ,Chemicals - inorganic,3.99,45.1,3.99,0.02,3.16  (Jul 2018),3.16  (Jul 2018),63.72 k,0.00 ,Small Cap,91.51
2,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",9.98,39.2,3.46,0.11,2.62  (Sep 2018),2.62  (Sep 2018),2.78 L,0.00 ,Small Cap,91.51
3,Kalpataru Power Transmission Ltd. ,Transmission towers,3.27,37,3.27,0.27,1.85  (Aug 2018),1.85  (Aug 2018),70.48 k,0.00 ,Small Cap,91.51
4,Praj Industries Ltd. ,"Engineering, designing, construction",9.98,34.6,3.06,-0.66,1.82  (Jul 2018),1.82  (Jul 2018),2.46 L,-0.58 L,Small Cap,91.51
5,J.K. Cement Ltd. ,Cement,7.41,32.5,2.87,0.02,1.96  (Dec 2018),0  (Jul 2018),32.40 k,0.00 ,Small Cap,91.51
6,Heidelberg Cement India Ltd. ,Cement,7.41,32.4,2.87,-0.03,1.2  (Jul 2018),1.2  (Jul 2018),1.66 L,0.00 ,Small Cap,91.51
7,Star Cement Ltd. ,Cement products,4.48,31,2.74,0.16,1.97  (Aug 2018),1.97  (Aug 2018),2.54 L,0.00 ,Small Cap,91.51
8,M M Forgings Ltd. ,Castings/forgings,2.65,29.9,2.65,-0.02,2.65  (Jun 2019),2.65  (Jun 2019),60.82 k,0.00 ,Small Cap,91.51
9,KEI Industries Ltd. ,Cables - electricals,2.6,29.4,2.60,-0.11,1.4  (Oct 2018),1.4  (Oct 2018),61.20 k,0.00 ,Small Cap,91.51
10,Astra Microwave Products Ltd. ,Telecom -  equipment,2.36,26.7,2.36,0.01,2.09  (Dec 2018),2.09  (Dec 2018),3.17 L,0.00 ,Small Cap,91.51
11,Nrb Bearings Ltd. ,Bearings,3.34,22.9,2.02,0.04,1.77  (Jul 2018),1.77  (Jul 2018),1.39 L,0.00 ,Small Cap,91.51
12,Thyrocare Technologies Ltd. ,Healthcare service providers ,1.97,22.3,1.97,0.09,1.72  (Jul 2018),1.72  (Jul 2018),47.23 k,0.00 ,Small Cap,91.51
13,Rajapalayam Mills Ltd. ,Spinning-cotton/blended,1.94,21.9,1.94,-0.03,1.72  (Dec 2018),1.72  (Dec 2018),27.04 k,0.00 ,Small Cap,91.51
14,Heritage Foods (india) Ltd. ,Consumer food,2.63,21.1,1.86,0.06,1.8  (May 2019),1.8  (May 2019),51.86 k,0.00 ,Small Cap,91.51
15,DCB Bank Ltd. ,Banks,3.25,21,1.86,0.12,1.07  (Jul 2018),1.07  (Jul 2018),88.48 k,0.00 ,Small Cap,91.51
16,VA Tech Wabag Ltd. ,"Engineering, designing, construction",9.98,20.7,1.83,0.03,1.47  (Oct 2018),1.47  (Oct 2018),67.04 k,0.00 ,Small Cap,91.51
17,Subros Ltd. ,Auto ancillaries,5.1,20.7,1.83,-0.16,1.83  (Jun 2019),1.83  (Jun 2019),87.55 k,0.00 ,Small Cap,91.51
18,ISGEC Heavy Engineering Ltd. ,Industrial equipment,3.1,20.3,1.80,-0.07,1.8  (Jun 2019),1.8  (Jun 2019),44.78 k,0.00 ,Other,4.11
19,Himatsingka Seide Ltd. ,Fabrics and garments,3.26,20.3,1.80,-0.29,1.8  (Jun 2019),1.8  (Jun 2019),1.25 L,0.00 ,Small Cap,91.51
20,Asian Granito India Ltd. ,Sanitary ware,1.76,19.9,1.76,0.07,1.12  (Jan 2019),1.12  (Jan 2019),79.31 k,0.00 ,Small Cap,91.51
21,Ramco Industries Ltd. ,Cement products,4.48,19.6,1.74,0.01,1.65  (Oct 2018),1.65  (Oct 2018),1.00 L,0.00 ,Small Cap,91.51
22,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,1.72,19.5,1.72,0.01,1.61  (Aug 2018),1.61  (Aug 2018),11.00 k,0.00 ,Small Cap,91.51
23,Navneet Publications (india) Ltd. ,Printing and publishing,1.97,19.5,1.72,0.03,1.25  (Jul 2018),1.25  (Jul 2018),1.84 L,0.00 ,Small Cap,91.51
24,Ingersoll Rand (india) Ltd. ,Compressors / pumps,1.71,19.3,1.71,0.04,1.16  (Jul 2018),1.16  (Jul 2018),30.46 k,0.00 ,Small Cap,91.51
