,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Navin Flourine International Ltd. ,Chemicals - inorganic,3.99,24.3,3.99,0.04,3.16  (Jul 2018),3.16  (Jul 2018),34.36 k,0.00 ,Small Cap,91.93
1,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",9.3,21.3,3.50,0.13,2.63  (Sep 2018),2.63  (Sep 2018),1.51 L,0.00 ,Small Cap,91.93
2,Kalpataru Power Transmission Ltd. ,Transmission towers,3.46,21,3.46,0.30,1.95  (Aug 2018),1.95  (Aug 2018),40.09 k,0.00 ,Small Cap,91.93
3,Heidelberg Cement India Ltd. ,Cement,7.91,20.7,3.40,-0.02,2.33  (Jul 2018),2.33  (Jul 2018),1.06 L,0.00 ,Small Cap,91.93
4,Praj Industries Ltd. ,"Engineering, designing, construction",9.3,19.2,3.16,-0.69,2.5  (Sep 2018),2.5  (Sep 2018),1.37 L,-0.33 L,Small Cap,91.93
5,J.K. Cement Ltd. ,Cement,7.91,17.7,2.90,0.04,1.95  (Dec 2018),0  (Jul 2018),17.62 k,0.00 ,Small Cap,91.93
6,Star Cement Ltd. ,Cement products,4.77,17.5,2.87,0.18,2.05  (Aug 2018),2.05  (Aug 2018),1.43 L,0.00 ,Small Cap,91.93
7,Grindwell Norton Ltd. ,Abrasives,2.83,17.2,2.83,0.14,2.01  (Jul 2018),2.01  (Jul 2018),28.96 k,0.00 ,Small Cap,91.93
8,M M Forgings Ltd. ,Castings/forgings,2.66,16.2,2.66,-0.01,2.66  (Jun 2019),2.66  (Jun 2019),32.89 k,0.00 ,Small Cap,91.93
9,Vesuvius India Ltd. ,Refractories,2.62,15.9,2.62,0.02,2.29  (Aug 2018),2.29  (Aug 2018),14.30 k,0.00 ,Small Cap,91.93
10,Kirloskar Ferrous Industries Ltd. ,Pig iron,2.51,15.3,2.51,-0.08,2.13  (Jul 2018),2.13  (Jul 2018),1.88 L,0.00 ,Small Cap,91.93
11,Asian Granito India Ltd. ,Sanitary ware,2.36,14.4,2.36,0.11,1.5  (Jan 2019),1.5  (Jan 2019),57.34 k,0.00 ,Small Cap,91.93
12,Ujjivan Small Finance Bank Ltd. ,Banks,3.29,14.3,2.35,-0.37,1.66  (Oct 2018),1.66  (Oct 2018),48.35 k,0.00 ,Small Cap,91.93
13,Thyrocare Technologies Ltd. ,Healthcare service providers ,2.18,13.3,2.18,0.10,1.92  (Apr 2019),1.92  (Apr 2019),28.13 k,0.00 ,Small Cap,91.93
14,Ador Welding Ltd. ,Electrodes,2.16,13.2,2.16,0.01,1.61  (Jul 2018),1.61  (Jul 2018),37.87 k,0.00 ,Small Cap,91.93
15,Heritage Foods (india) Ltd. ,Consumer food,2.91,12.5,2.05,0.08,1.97  (May 2019),1.97  (May 2019),30.75 k,0.00 ,Small Cap,91.93
16,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",1.99,12.1,1.99,-0.18,0.98  (Jul 2018),0.98  (Jul 2018),36.96 k,0.00 ,Small Cap,91.93
17,Nrb Bearings Ltd. ,Bearings,3.2,11.8,1.94,0.05,1.7  (Jul 2018),1.7  (Jul 2018),72.04 k,0.00 ,Small Cap,91.93
18,ISGEC Heavy Engineering Ltd. ,Industrial equipment,3.22,11.6,1.91,-0.06,1.91  (Jun 2019),1.91  (Jun 2019),25.63 k,0.00 ,Other,4.24
19,Ramco Industries Ltd. ,Cement products,4.77,11.6,1.90,0.02,1.79  (Oct 2018),1.79  (Oct 2018),58.79 k,0.00 ,Small Cap,91.93
20,NCC Ltd. ,"Engineering, designing, construction",9.3,11.5,1.88,0.09,1.79  (May 2019),1.79  (May 2019),1.18 L,0.00 ,Small Cap,91.93
21,Subros Ltd. ,Auto ancillaries,4.86,11.4,1.87,-0.16,1.87  (Jun 2019),1.87  (Jun 2019),48.26 k,0.00 ,Small Cap,91.93
22,KEI Industries Ltd. ,Cables - electricals,1.79,10.9,1.79,-0.07,1.01  (Oct 2018),1.01  (Oct 2018),22.76 k,0.00 ,Small Cap,91.93
23,Oriental Hotels Ltd. ,Hotels/resorts,2.84,10.3,1.70,-0.11,1.58  (Aug 2018),1.58  (Aug 2018),2.70 L,0.00 ,Small Cap,91.93
24,Rane Holdings Ltd. ,Investment companies,1.65,10,1.65,-0.16,1.61  (Jan 2019),1.61  (Jan 2019),9.52 k,0.00 ,Small Cap,91.93
25,Himatsingka Seide Ltd. ,Fabrics and garments,2.43,9.9,1.63,-0.25,1.63  (Jun 2019),1.63  (Jun 2019),61.32 k,0.00 ,Small Cap,91.93
26,- India Cements Ltd. ,Cement,7.91,9.8,1.61,-0.01,1.37  (Jan 2019),1.37  (Jan 2019),98.00 k,0.00 ,Small Cap,91.93
27,Johnson Controls-Hitachi Air Conditioning India Ltd. ,Air conditioner,1.43,8.7,1.43,0.02,1.38  (Nov 2018),0  (Jul 2018),4.93 k,0.00 ,Small Cap,91.93
28,Cyient Ltd. ,It enabled services – software,1.41,8.6,1.41,0.03,1.38  (May 2019),1.38  (May 2019),15.81 k,0.00 ,Small Cap,91.93
29,Brigade Enterprises Ltd. ,Residential/commercial/sez project,2.46,8.5,1.39,0.11,0.85  (Oct 2018),0.85  (Oct 2018),32.90 k,0.00 ,Small Cap,91.93
30,- Muthoot Capital Services Ltd. ,Nbfc,3.1,8.4,1.37,0.00,1.37  (Jun 2019),1.37  (Jun 2019),11.78 k,0.00 ,Small Cap,91.93
31,Arvind Fashions Ltd. ,Industrial equipment,3.22,8,1.31,0.47,0.84  (May 2019),0  (Jul 2018),11.74 k,5.00 k,Other,4.24
32,Khadim India Ltd. ,Leather and leather products,1.28,7.8,1.28,-0.08,1.28  (Jun 2019),1.28  (Jun 2019),25.59 k,0.00 ,Small Cap,91.93
33,Timken India Ltd. ,Bearings,3.2,7.7,1.26,0.16,0.88  (Nov 2018),0.88  (Nov 2018),10.49 k,0.00 ,Small Cap,91.93
34,Mahindra Holidays & Resorts India Ltd. ,Hotels/resorts,2.84,6.9,1.14,0.08,0.96  (Nov 2018),0.96  (Nov 2018),29.87 k,0.00 ,Small Cap,91.93
35,Astra Microwave Products Ltd. ,Telecom -  equipment,1.09,6.7,1.09,0.01,0.95  (Dec 2018),0.95  (Dec 2018),79.00 k,0.00 ,Small Cap,91.93
36,Ksb Pumps Ltd. ,Compressors / pumps,2.15,6.6,1.08,0.11,0.97  (May 2019),0  (Jul 2018),9.14 k,0.00 ,Small Cap,91.93
37,Capacite Infraprojects Ltd. ,Residential/commercial/sez project,2.46,6.6,1.07,0.06,0.79  (Oct 2018),0.79  (Oct 2018),24.12 k,0.00 ,Small Cap,91.93
38,Magma Fincorp Ltd. ,Nbfc,3.1,6.5,1.07,0.05,1.03  (May 2019),0  (Jul 2018),50.24 k,0.00 ,Small Cap,91.93
39,Century Plyboards India Ltd. ,Plywood boards,1.07,6.5,1.07,0.03,0.9  (Jul 2018),0.9  (Jul 2018),38.92 k,0.00 ,Small Cap,91.93
40,Ingersoll Rand (india) Ltd. ,Compressors / pumps,2.15,6.5,1.07,0.03,0.73  (Jul 2018),0.73  (Jul 2018),10.26 k,0.00 ,Small Cap,91.93
