,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,The Ramco Cements Ltd. ,Cement,6.09,23.2,4.52,-0.14,3.77  (Nov 2018),3.77  (Nov 2018),29.61 k,0.00 ,Mid Cap,62.93
1,Thermax Ltd. ,Industrial equipment,4.27,21.9,4.27,0.19,2.68  (Mar 2019),2.68  (Mar 2019),20.72 k,0.00 ,Mid Cap,62.93
2,Bajaj Finserv Ltd ,Nbfc,12.95,19.3,3.76,0.18,2.65  (Oct 2018),2.65  (Oct 2018),2.26 k,0.00 ,Large Cap,16.97
3,Trent Limited ,Retailing,5.78,19,3.71,0.44,1.08  (Jul 2018),1.08  (Jul 2018),43.12 k,0.00 ,Mid Cap,62.93
4,SBI Life Insurance Co Ltd. ,Insurance,5.65,17.3,3.37,0.17,0.22  (Jul 2018),0.22  (Jul 2018),23.89 k,0.00 ,Large Cap,16.97
5,Siemens Ltd. ,Power equipment,3.27,16.8,3.27,0.13,1.86  (Jul 2018),1.86  (Jul 2018),12.78 k,0.00 ,Large Cap,16.97
6,Bajaj Finance Ltd. ,Nbfc,12.95,16.7,3.26,0.22,2.63  (Sep 2018),2.63  (Sep 2018),4.55 k,0.00 ,Large Cap,16.97
7,City Union Bank Ltd. ,Banks,5.6,16.2,3.16,0.12,2.16  (Jul 2018),2.16  (Jul 2018),74.43 k,0.00 ,Mid Cap,62.93
8,Jubilant Foodworks Ltd. ,Consumer food,5.77,15.3,2.98,-0.15,2.98  (Jun 2019),0  (Jul 2018),12.41 k,0.00 ,Mid Cap,62.93
9,Varun Beverages Ltd. ,Consumer food,5.77,14.3,2.79,0.07,2.07  (Mar 2019),0  (Jul 2018),15.13 k,0.00 ,Mid Cap,62.93
10,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,5,13.2,2.58,-0.04,2.18  (Apr 2019),0  (Jul 2018),56.95 k,0.00 ,Mid Cap,62.93
11,Tata Global Beverages Ltd. ,Tea &  coffee,2.46,12.6,2.46,0.26,1.13  (Mar 2019),0  (Jul 2018),46.85 k,0.00 ,Mid Cap,62.93
12,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,12.95,12.5,2.44,-0.15,2.17  (Sep 2018),2.17  (Sep 2018),43.77 k,43.77 k,Other,2.63
13,Whirlpool Of India Ltd. ,Home appliances,5,12.4,2.42,0.21,2.16  (Apr 2019),2.16  (Apr 2019),7.80 k,0.00 ,Mid Cap,62.93
14,Mphasis Ltd. ,Computers - software,2.38,12.2,2.38,0.05,2.33  (May 2019),2.33  (May 2019),12.15 k,0.00 ,Mid Cap,62.93
15,- ICICI Lombard General Insurance Co Ltd. ,Insurance,5.65,11.7,2.28,0.00,1.81  (Jul 2018),1.81  (Jul 2018),10.51 k,465.00 ,Large Cap,16.97
16,Indraprastha Gas Ltd. ,Lpg/cng/png/lng supplier,2.24,11.5,2.24,-0.13,1.88  (Sep 2018),1.88  (Sep 2018),36.53 k,0.00 ,Mid Cap,62.93
17,Oberoi Realty Ltd. ,Residential/commercial/sez project,2.23,11.4,2.23,0.19,1.56  (Aug 2018),1.56  (Aug 2018),18.79 k,0.00 ,Mid Cap,62.93
18,- EIH Ltd ,Hotels/resorts,2.17,11.1,2.17,0.00,1.91  (Sep 2018),1.91  (Sep 2018),60.90 k,0.00 ,Mid Cap,62.93
19,V-Guard Industries Ltd. ,Industrial electronics,2.16,11.1,2.16,0.03,1.89  (Sep 2018),1.89  (Sep 2018),45.42 k,0.00 ,Small Cap,14.25
20,Aditya Birla Fashion and Retail Ltd. ,Retailing,5.78,10.6,2.07,0.06,1.11  (Aug 2018),0  (Jul 2018),49.38 k,0.00 ,Mid Cap,62.93
21,Redington (India) Ltd. ,Logistics solution provider,2.06,10.6,2.06,0.19,1.52  (Jan 2019),1.52  (Jan 2019),97.21 k,0.00 ,Small Cap,14.25
22,Schaeffler India Ltd. ,Bearings,2.04,10.5,2.04,-0.09,2.04  (Jun 2019),2.04  (Jun 2019),2.14 k,0.00 ,Mid Cap,62.93
23,Bayer Cropscience Ltd. ,Pesticides and agrochemicals,2.03,10.4,2.03,-0.19,2.03  (Jun 2019),2.03  (Jun 2019),3.01 k,0.00 ,Mid Cap,62.93
24,- L&T Technology Services Ltd. ,It enabled services – software,2.01,10.3,2.01,0.00,0.35  (Jul 2018),0.35  (Jul 2018),5.92 k,0.00 ,Mid Cap,62.93
25,Emami Ltd. ,Personal care,1.92,9.9,1.92,0.94,0.98  (May 2019),0.98  (May 2019),33.00 k,18.39 k,Mid Cap,62.93
26,Mahindra & Mahindra Financial Services Ltd. ,Nbfc,12.95,9.3,1.81,-0.14,1.81  (Jun 2019),1.81  (Jun 2019),23.87 k,0.00 ,Mid Cap,62.93
27,L&T Finance Holdings Ltd. ,Investment companies,1.92,9,1.75,0.72,1.02  (May 2019),0  (Jul 2018),77.79 k,38.27 k,Mid Cap,62.93
28,Federal Bank Ltd. ,Banks,5.6,8.7,1.70,0.03,1.66  (May 2019),0  (Jul 2018),80.28 k,0.00 ,Mid Cap,62.93
29,Max Financial Services Ltd. ,Nbfc,12.95,8.6,1.68,-0.16,1.68  (Jun 2019),1.68  (Jun 2019),21.10 k,0.00 ,Mid Cap,62.93
30,LIC Housing Finance Ltd. ,Housing finance,1.68,8.6,1.68,0.01,1.59  (Sep 2018),0  (Jul 2018),15.49 k,0.00 ,Mid Cap,62.93
31,J.K. Cement Ltd. ,Cement,6.09,8.1,1.57,-0.05,1.18  (Oct 2018),1.18  (Oct 2018),8.06 k,0.00 ,Small Cap,14.25
32,Vardhman Textiles Ltd. ,Spinning-cotton/blended,1.57,8.1,1.57,-0.03,1.57  (Jun 2019),1.57  (Jun 2019),7.60 k,0.00 ,Small Cap,14.25
33,GMR Infrastructure Ltd. ,"Engineering, designing, construction",1.56,8,1.56,-0.05,1.56  (Jun 2019),1.56  (Jun 2019),5.37 L,0.00 ,Small Cap,14.25
34,WABCO India Ltd. ,Auto ancillaries,3.69,7.4,1.45,-0.02,1.45  (Jun 2019),1.45  (Jun 2019),1.21 k,0.00 ,Mid Cap,62.93
35,Castrol (india) Ltd. ,Lubricants,1.37,7,1.37,-0.14,1.37  (Jun 2019),1.37  (Jun 2019),52.94 k,0.00 ,Mid Cap,62.93
36,Quess Corp Ltd. ,Diversified commercial services,1.35,6.9,1.35,-0.15,1.35  (Jun 2019),1.35  (Jun 2019),11.99 k,0.00 ,Small Cap,14.25
37,Jindal Steel & Power Ltd. ,Steel,1.28,6.6,1.28,-0.15,1.28  (Jun 2019),1.28  (Jun 2019),46.11 k,0.00 ,Mid Cap,62.93
