,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,The Ramco Cements Ltd. ,Cement,6.1,24.3,4.52,-0.14,3.76  (Nov 2018),3.76  (Nov 2018),31.05 k,0.00 ,Mid Cap,62.66
1,Thermax Ltd. ,Industrial equipment,4.28,23.1,4.28,0.19,2.69  (Mar 2019),2.69  (Mar 2019),21.80 k,0.00 ,Mid Cap,62.66
2,Bajaj Finserv Ltd ,Nbfc,12.83,20.2,3.75,0.18,2.64  (Oct 2018),2.64  (Oct 2018),2.37 k,0.00 ,Large Cap,16.93
3,Trent Limited ,Retailing,5.74,19.7,3.66,0.44,0.81  (Jul 2018),0.81  (Jul 2018),44.69 k,0.00 ,Mid Cap,62.66
4,SBI Life Insurance Co Ltd. ,Insurance,5.63,18.1,3.37,0.17,0.22  (Jul 2018),0.22  (Jul 2018),25.07 k,0.00 ,Large Cap,16.93
5,Bajaj Finance Ltd. ,Nbfc,12.83,17.6,3.27,0.22,2.55  (Sep 2018),2.55  (Sep 2018),4.78 k,0.00 ,Large Cap,16.93
6,Siemens Ltd. ,Power equipment,3.26,17.6,3.26,0.13,1.84  (Jul 2018),1.84  (Jul 2018),13.39 k,0.00 ,Large Cap,16.93
7,City Union Bank Ltd. ,Banks,5.6,17.1,3.17,0.12,2.16  (Jul 2018),2.16  (Jul 2018),78.20 k,0.00 ,Mid Cap,62.66
8,Jubilant Foodworks Ltd. ,Consumer food,5.77,16.1,2.98,-0.15,2.98  (Jun 2019),0  (Jul 2018),13.04 k,0.00 ,Mid Cap,62.66
9,Varun Beverages Ltd. ,Consumer food,5.77,15,2.79,0.07,2.07  (Mar 2019),0  (Jul 2018),15.88 k,0.00 ,Mid Cap,62.66
10,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,5.01,13.9,2.58,-0.04,2.18  (Apr 2019),0  (Jul 2018),59.79 k,0.00 ,Mid Cap,62.66
11,Tata Global Beverages Ltd. ,Tea &  coffee,2.45,13.2,2.45,0.25,1.12  (Mar 2019),0  (Jul 2018),48.94 k,0.00 ,Mid Cap,62.66
12,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,12.83,13.2,2.45,-0.15,2.17  (Sep 2018),2.17  (Sep 2018),46.15 k,46.15 k,Other,2.64
13,Whirlpool Of India Ltd. ,Home appliances,5.01,13.1,2.43,0.21,2.17  (Apr 2019),2.17  (Apr 2019),8.22 k,0.00 ,Mid Cap,62.66
14,Mphasis Ltd. ,Computers - software,2.38,12.8,2.38,0.05,2.33  (May 2019),2.33  (May 2019),12.75 k,0.00 ,Mid Cap,62.66
