,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,The Ramco Cements Ltd. ,Cement,6.27,41,4.90,0.10,3.92  (Nov 2018),3.92  (Nov 2018),50.18 k,0.00 ,Mid Cap,66.32
1,Apollo Hospitals Enterprises Ltd. ,Hospital,4.16,34.8,4.16,-0.06,3.61  (Jul 2018),3.61  (Jul 2018),28.06 k,0.00 ,Mid Cap,66.32
2,Thermax Ltd. ,Industrial equipment,4.09,34.2,4.09,0.96,2.36  (Mar 2019),0  (Jun 2018),33.49 k,7.49 k,Mid Cap,66.32
3,Trent Limited ,Retailing,5.62,30.1,3.60,0.23,2.87  (Jun 2018),2.87  (Jun 2018),76.74 k,0.00 ,Mid Cap,66.32
4,SBI Life Insurance Co Ltd. ,Insurance,5.47,26.8,3.21,1.15,1.61  (Sep 2018),1.61  (Sep 2018),38.61 k,12.59 k,Large Cap,14.06
5,Siemens Ltd. ,Power equipment,3.13,26.1,3.13,0.86,1.84  (Aug 2018),1.84  (Aug 2018),20.55 k,4.92 k,Large Cap,14.06
6,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,10.2,26.1,3.13,0.20,2.61  (Sep 2018),2.61  (Sep 2018),17.05 k,0.00 ,Mid Cap,66.32
7,Jubilant Foodworks Ltd. ,Consumer food,5.84,26.1,3.12,0.16,1.28  (Oct 2018),1.28  (Oct 2018),19.97 k,1.91 k,Mid Cap,66.32
8,City Union Bank Ltd. ,Banks,6.99,25.5,3.06,0.39,2.17  (Jul 2018),2.17  (Jul 2018),1.20 L,14.02 k,Mid Cap,66.32
9,Bajaj Finance Ltd. ,Nbfc,10.2,25.4,3.04,-0.48,2.62  (Jun 2018),2.62  (Jun 2018),7.32 k,-1.88 k,Large Cap,14.06
10,Varun Beverages Ltd. ,Consumer food,5.84,22.7,2.72,0.09,2.06  (Mar 2019),0  (Jun 2018),24.36 k,0.00 ,Mid Cap,66.32
11,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,4.73,21.9,2.62,0.43,2.19  (Apr 2019),0  (Jun 2018),91.97 k,17.37 k,Mid Cap,66.32
