,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,The Ramco Cements Ltd. ,Cement,6.25,17.9,4.88,0.10,3.9  (Nov 2018),3.9  (Nov 2018),21.93 k,0.00 ,Mid Cap,65.26
1,Apollo Hospitals Enterprises Ltd. ,Hospital,4.19,15.4,4.19,-0.06,3.62  (Jul 2018),3.62  (Jul 2018),12.40 k,0.00 ,Mid Cap,65.26
2,Thermax Ltd. ,Industrial equipment,4.08,14.9,4.08,0.96,2.37  (Mar 2019),0  (Jun 2018),14.65 k,3.29 k,Mid Cap,65.26
3,Trent Limited ,Retailing,5.61,13.2,3.59,0.23,2.86  (Jun 2018),2.86  (Jun 2018),33.58 k,0.00 ,Mid Cap,65.26
4,Varun Beverages Ltd. ,Consumer food,6.35,11.9,3.26,0.10,2.06  (Mar 2019),0  (Jun 2018),12.79 k,0.00 ,Mid Cap,65.26
5,SBI Life Insurance Co Ltd. ,Insurance,5.44,11.7,3.20,1.05,1.82  (Sep 2018),1.82  (Sep 2018),16.88 k,4.97 k,Large Cap,14.12
6,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,10.02,11.5,3.13,0.20,2.61  (Sep 2018),2.61  (Sep 2018),7.49 k,0.00 ,Mid Cap,65.26
7,Siemens Ltd. ,Power equipment,3.12,11.4,3.12,0.80,1.86  (Aug 2018),1.86  (Aug 2018),9.00 k,1.98 k,Large Cap,14.12
8,Jubilant Foodworks Ltd. ,Consumer food,6.35,11.3,3.09,0.07,2.57  (Oct 2018),2.57  (Oct 2018),8.65 k,602.00 ,Mid Cap,65.26
9,Bajaj Finance Ltd. ,Nbfc,10.02,11.2,3.05,-0.77,2.83  (Jun 2018),2.83  (Jun 2018),3.23 k,-1.16 k,Large Cap,14.12
10,City Union Bank Ltd. ,Banks,7.07,11.2,3.05,0.38,2.17  (Jul 2018),2.17  (Jul 2018),52.76 k,5.97 k,Mid Cap,65.26
11,Crompton Greaves Consumer Electricals Ltd. ,Home appliances,4.72,9.6,2.61,0.43,2.18  (Apr 2019),0  (Jun 2018),40.25 k,7.62 k,Mid Cap,65.26
12,Indraprastha Gas Ltd. ,Lpg/cng/png/lng supplier,2.41,8.8,2.41,0.10,1.88  (Jun 2018),1.88  (Jun 2018),26.25 k,0.00 ,Mid Cap,65.26
13,Mphasis Ltd. ,Computers - software,2.33,8.6,2.33,-0.02,2.33  (May 2019),2.33  (May 2019),8.60 k,0.00 ,Mid Cap,65.26
14,ICICI Lombard General Insurance Co Ltd. ,Insurance,5.44,8.2,2.24,-0.34,1.64  (Jun 2018),1.64  (Jun 2018),6.98 k,-1.40 k,Large Cap,14.12
15,Tata Global Beverages Ltd. ,Tea &  coffee,2.22,8.2,2.22,1.03,1.15  (Mar 2019),1.15  (Mar 2019),33.41 k,13.13 k,Mid Cap,65.26
16,EIH Ltd ,Hotels/resorts,2.17,8,2.17,-0.12,1.91  (Sep 2018),1.91  (Sep 2018),43.14 k,0.00 ,Mid Cap,65.26
17,V-Guard Industries Ltd. ,Industrial electronics,2.13,7.8,2.13,-0.04,1.86  (Sep 2018),1.86  (Sep 2018),32.12 k,-3.20 k,Small Cap,14.95
18,Whirlpool Of India Ltd. ,Home appliances,4.72,7.7,2.11,0.04,0.93  (Dec 2018),0.93  (Dec 2018),5.26 k,0.00 ,Mid Cap,65.26
19,Redington (India) Ltd. ,Logistics solution provider,2.05,7.5,2.05,-0.10,1.66  (Jan 2019),1.66  (Jan 2019),75.19 k,0.00 ,Small Cap,14.95
20,Oberoi Realty Ltd. ,Residential/commercial/sez project,2.05,7.5,2.05,0.14,1.53  (Aug 2018),1.53  (Aug 2018),13.35 k,0.00 ,Mid Cap,65.26
21,Aditya Birla Fashion and Retail Ltd. ,Retailing,5.61,7.4,2.02,-0.11,0.93  (Jul 2018),0.93  (Jul 2018),35.12 k,0.00 ,Mid Cap,65.26
22,L&T Technology Services Ltd. ,It enabled services – software,2,7.3,2.00,-0.49,0.35  (Jul 2018),0.35  (Jul 2018),4.17 k,-0.93 k,Mid Cap,65.26
23,Quess Corp Ltd. ,Diversified commercial services,1.95,7.2,1.95,-0.21,1.95  (May 2019),1.95  (May 2019),11.00 k,0.00 ,Small Cap,14.95
24,Max Financial Services Ltd. ,Nbfc,10.02,7,1.92,0.08,1.79  (Oct 2018),1.79  (Oct 2018),15.60 k,0.00 ,Mid Cap,65.26
