,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Navin Flourine International Ltd. ,Chemicals - inorganic,4.19,482.5,4.19,-0.02,3.9  (Feb 2019),3.9  (Feb 2019),6.83 L,0.00 ,Small Cap,90.8
1,Tube Investments Of India Ltd. ,Auto ancillaries,7.41,472,4.10,0.10,2.02  (Feb 2019),0  (Jul 2018),12.29 L,0.00 ,Small Cap,90.8
2,DCB Bank Ltd. ,Banks,3.98,458,3.98,0.21,2.65  (Jul 2018),2.65  (Jul 2018),19.32 L,0.00 ,Small Cap,90.8
3,- J.K. Cement Ltd. ,Cement,9.37,455.2,3.96,-0.01,2.93  (Jul 2018),2.93  (Jul 2018),4.54 L,0.00 ,Small Cap,90.8
4,Praj Industries Ltd. ,"Engineering, designing, construction",6.61,416,3.61,-0.38,2.42  (Jul 2018),2.42  (Jul 2018),29.58 L,-3.37 L,Small Cap,90.8
5,Nrb Bearings Ltd. ,Bearings,6.31,401,3.48,0.04,3.45  (May 2019),3.45  (May 2019),24.41 L,0.00 ,Small Cap,90.8
6,Heidelberg Cement India Ltd. ,Cement,9.37,399.7,3.47,-0.07,2.75  (Jul 2018),2.75  (Jul 2018),20.49 L,0.00 ,Small Cap,90.8
7,Kalpataru Power Transmission Ltd. ,Transmission towers,3.19,367.4,3.19,0.24,2.35  (Aug 2018),2.35  (Aug 2018),7.00 L,0.00 ,Small Cap,90.8
8,PNC Infratech Ltd. ,Construction civil,4.68,326.5,2.84,0.18,2.09  (Mar 2019),2.09  (Mar 2019),16.23 L,0.00 ,Small Cap,90.8
9,Timken India Ltd. ,Bearings,6.31,326,2.83,0.31,2.12  (Apr 2019),2.12  (Apr 2019),4.44 L,0.00 ,Small Cap,90.8
10,INOX Leisure Ltd. ,"Flim production, distribution & exhibition",2.78,320.1,2.78,-0.30,1.28  (Jul 2018),1.28  (Jul 2018),9.78 L,0.00 ,Small Cap,90.8
11,V-Guard Industries Ltd. ,Industrial electronics,2.68,308.4,2.68,0.11,2.39  (Apr 2019),2.39  (Apr 2019),12.67 L,0.00 ,Small Cap,90.8
12,Thyrocare Technologies Ltd. ,Healthcare service providers ,3.76,307.2,2.67,0.09,2.56  (Apr 2019),2.56  (Apr 2019),6.51 L,0.00 ,Small Cap,90.8
13,Heritage Foods (india) Ltd. ,Consumer food,2.39,275.2,2.39,0.06,2.34  (May 2019),2.34  (May 2019),6.77 L,0.00 ,Small Cap,90.8
14,Rane Holdings Ltd. ,Investment companies,2.25,259.5,2.25,-0.25,2.25  (Jun 2019),2.25  (Jun 2019),2.46 L,0.00 ,Small Cap,90.8
15,Ashoka Buildcon Ltd. ,"Engineering, designing, construction",6.61,252.3,2.19,0.05,1.91  (Mar 2019),1.91  (Mar 2019),17.94 L,0.00 ,Small Cap,90.8
16,ISGEC Heavy Engineering Ltd. ,Industrial equipment,3.4,251.1,2.18,-0.10,2.18  (Jun 2019),2.18  (Jun 2019),5.53 L,0.00 ,Other,5.92
17,- Ramco Industries Ltd. ,Cement products,3.19,244.7,2.13,-0.01,2.13  (Jun 2019),2.13  (Jun 2019),12.46 L,0.00 ,Small Cap,90.8
18,Brigade Enterprises Ltd. ,Residential/commercial/sez project,3.6,243.5,2.12,0.13,1.49  (Oct 2018),1.49  (Oct 2018),9.43 L,0.00 ,Small Cap,90.8
