,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,JMC Projects (India) Ltd. ,Construction civil,5.05,178.3,5.05,-0.16,4.43  (Dec 2018),0  (Jul 2018),13.25 L,0.00 ,Small Cap,74.4
1,Kalpataru Power Transmission Ltd. ,Transmission towers,4.68,165.3,4.68,0.03,0.48  (Nov 2018),0  (Jul 2018),3.15 L,0.00 ,Small Cap,74.4
2,BASF India Ltd. ,Chemicals - speciality,7.25,162.7,4.60,0.20,4.4  (May 2019),0  (Jul 2018),1.21 L,12.00 k,Small Cap,74.4
3,Redington (India) Ltd. ,Logistics solution provider,8.72,152.5,4.32,0.22,3.89  (Mar 2019),0  (Jul 2018),14.00 L,0.00 ,Small Cap,74.4
4,Ramco Industries Ltd. ,Cement products,4.2,148.4,4.20,-0.09,2.78  (Nov 2018),0  (Jul 2018),7.56 L,40.00 k,Small Cap,74.4
5,Bajaj Consumer Care Ltd. ,Personal care,4.01,141.8,4.01,0.04,2.45  (Mar 2019),0  (Jul 2018),4.30 L,30.00 k,Small Cap,74.4
6,Tube Investments Of India Ltd. ,Auto ancillaries,5.89,137.1,3.88,0.14,0.6  (Jan 2019),0  (Jul 2018),3.57 L,29.00 k,Small Cap,74.4
7,Rallis India Ltd. ,Pesticides and agrochemicals,3.63,128.3,3.63,-0.23,3.63  (Jun 2019),0  (Jul 2018),8.81 L,9.00 k,Small Cap,74.4
8,Polycab India Limited ,Cables - electricals,3.27,115.6,3.27,-0.05,3.27  (Jun 2019),0  (Jul 2018),1.86 L,0.00 ,Other,5.05
9,Future Supply Chain Solutions Ltd. ,Logistics solution provider,8.72,114.5,3.24,-0.50,3.24  (Jun 2019),0  (Jul 2018),2.00 L,0.00 ,Small Cap,74.4
10,Finolex Industries Ltd. ,Plastic products,3.03,107,3.03,0.13,2.9  (May 2019),0  (Jul 2018),2.11 L,11.00 k,Small Cap,74.4
11,BSE Ltd. ,Capital markets,4.88,104.2,2.95,0.23,2.56  (Apr 2019),0  (Jul 2018),1.70 L,20.00 k,Small Cap,74.4
12,Vst Industries Ltd. ,Cigarettes,2.92,103.2,2.92,-0.25,2.39  (Mar 2019),0  (Jul 2018),30.00 k,0.00 ,Small Cap,74.4
13,Fine Organic Industries Ltd. ,Chemicals - speciality,7.25,93.8,2.65,-0.32,2.65  (Jun 2019),0  (Jul 2018),65.70 k,0.00 ,Small Cap,74.4
14,Radico Khaitan Ltd. ,Brew/distilleries,2.32,82.1,2.32,0.60,1.72  (May 2019),0  (Jul 2018),2.60 L,85.00 k,Small Cap,74.4
15,Healthcare Global Enterprises Ltd. ,Hospital,2.22,78.4,2.22,-0.33,1.97  (Feb 2019),0  (Jul 2018),5.00 L,39.69 k,Small Cap,74.4
16,Thomas Cook (india) Ltd. ,Diversified services,2.21,78.2,2.21,-0.12,2.21  (Jun 2019),0  (Jul 2018),3.40 L,0.00 ,Small Cap,74.4
17,Gujarat State Petronet Ltd. ,Gas transmission/marketing,2.16,76.4,2.16,0.75,1.41  (May 2019),0  (Jul 2018),3.89 L,1.39 L,Mid Cap,2.72
18,Elantas Beck India Ltd. ,Chemicals - organic,2.15,76.1,2.15,-0.03,2.15  (Jun 2019),0  (Jul 2018),36.82 k,3.00 k,Small Cap,74.4
19,Dishman Carbogen Amcis Ltd. ,Pharmaceuticals,2.63,73.2,2.07,-0.22,2.07  (Jun 2019),0  (Jul 2018),3.25 L,0.00 ,Small Cap,74.4
20,Navin Flourine International Ltd. ,Chemicals - inorganic,2,70.7,2.00,-0.16,2  (Jun 2019),0  (Jul 2018),1.00 L,0.00 ,Small Cap,74.4
21,Central Depository Services (India) Ltd. ,Capital markets,4.88,68.3,1.93,-0.13,1.93  (Jun 2019),0  (Jul 2018),3.10 L,0.00 ,Small Cap,74.4
22,KPIT Engineering Ltd. ,Auto ancillaries,5.89,62.9,1.78,-0.07,1.78  (Jun 2019),0  (Jul 2018),6.50 L,0.00 ,Other,5.05
23,Timken India Ltd. ,Bearings,1.72,60.9,1.72,0.08,1.49  (Apr 2019),0  (Jul 2018),83.00 k,0.00 ,Small Cap,74.4
24,Force Motors Ltd. ,Commercial vehicles,1.58,55.8,1.58,-0.11,1.58  (Jun 2019),0  (Jul 2018),39.41 k,2.30 k,Small Cap,74.4
25,Orient Electric Ltd. ,Home appliances,1.29,45.5,1.29,-0.10,1.15  (Nov 2018),0  (Jul 2018),2.86 L,0.00 ,Small Cap,74.4
26,Westlife Development Ltd. ,Hotels/resorts,1.28,45.4,1.28,-0.13,0.66  (Dec 2018),0  (Jul 2018),1.48 L,10.00 k,Small Cap,74.4
27,Transport Corporation Of India Ltd. ,Logistics solution provider,8.72,41.1,1.16,-0.07,0.83  (Apr 2019),0  (Jul 2018),1.32 L,0.00 ,Small Cap,74.4
