,Stock Invested in,Sector,Sector Total,Value(Cr),% of Total Holdings,1M Change,1Y Highest Holding,1Y Lowest Holding,Quantity,1M Change in Qty,M-Cap,GroupName
0,Abbott India Ltd. ,Pharmaceuticals,8.97,106.7,3.36,0.50,2.05  (Aug 2018),0  (Jul 2018),12.00 k,0.00 ,Mid Cap,21.97
1,NESCO Ltd. ,Diversified commercial services,5.91,94.2,2.97,0.12,2.81  (Jul 2018),2.81  (Jul 2018),1.67 L,-0.15 L,Small Cap,71.32
2,Cholamandalam Investment & Finance Co. Ltd. ,Nbfc,2.96,93.9,2.96,-0.39,1.82  (Jan 2019),1.82  (Jan 2019),3.29 L,3.29 L,Other,2.96
3,Teamlease Services Ltd. ,Diversified commercial services,5.91,93.3,2.94,0.79,0.67  (Mar 2019),0  (Jul 2018),31.67 k,8.28 k,Small Cap,71.32
4,KNR Constructions ,Construction civil,2.89,91.6,2.89,0.08,1.87  (Jul 2018),1.87  (Jul 2018),3.27 L,0.00 ,Small Cap,71.32
5,PVR Ltd. ,"Flim production, distribution & exhibition",2.87,90.9,2.87,0.71,1  (Mar 2019),0  (Jul 2018),54.25 k,14.76 k,Small Cap,71.32
6,Wonderla Holidays Ltd. ,Other recreational activities,2.84,90,2.84,-0.45,2.33  (Jul 2018),2.33  (Jul 2018),3.22 L,-0.27 L,Small Cap,71.32
7,TCI Express Ltd. ,Logistics solution provider,4.81,88,2.78,-0.11,1.02  (Mar 2019),0  (Jul 2018),1.34 L,0.00 ,Small Cap,71.32
8,Fine Organic Industries Ltd. ,Chemicals - speciality,2.77,87.9,2.77,-0.64,2.33  (Jul 2018),2.33  (Jul 2018),61.59 k,-0.10 L,Small Cap,71.32
9,Orient Electric Ltd. ,Home appliances,4.19,87.8,2.77,-0.05,2.46  (Jan 2019),2.46  (Jan 2019),5.52 L,0.00 ,Small Cap,71.32
10,Minda Industries Ltd. ,Auto ancillaries,5.13,87.7,2.77,-0.17,2.26  (Jan 2019),0  (Jul 2018),2.76 L,-3.71 k,Small Cap,71.32
